ID,Company,Model,Segment,Predictia modelului
88,QOROS,QOROS 3 Hatchbach (2014-Present),Compact,Compact
89,NISSAN,NISSAN Primera Sedan (2002-Present),Compact,Compact
90,TOYOTA,TOYOTA AURIS (2018-Present),Compact,Compact
91,BMW,BMW M3 Touring (2022-Present),Compact,Medium Premium
92,SKODA,SKODA Fabia Combi (2018-Present),Compact,Compact
93,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
94,CITROEN,CITROEN DS5 (2011-Present),Compact,Compact
95,GENESIS,GENESIS G70 Shooting Brake (2021-Present),Compact,Coupe Cabrio
96,OPEL,OPEL Corsa 3 Doors (2014-Present),Compact,Compact
97,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
98,KIA,2012 Kia cee'd Sportswagon,Compact,Compact
99,AUDI,AUDI A3 Sportback (2020-Present),Compact,Compact
100,VOLKSWAGEN,VOLKSWAGEN Scirocco (2014-Present),Compact,Compact
101,FIAT,FIAT Tipo / Egea (2015-Present),Compact,Compact
102,RENAULT,RENAULT Captur (2019-Present),Compact,Crossover
103,HOLDEN,HOLDEN Cruze (2008-Present),Compact,Compact
104,OPEL,2020 Opel Corsa,Compact,Compact
105,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
106,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
107,CITROEN,CITROEN DS5 (2011-Present),Compact,Compact
108,KIA,2012 Kia cee'd Sportswagon,Compact,Compact
109,SEAT,SEAT Ibiza 5 Doors (2021-Present),Compact,Mini
110,SKODA,2019 Skoda Scala,Compact,Compact
111,RENAULT,RENAULT Captur (2019-Present),Compact,Crossover
112,KIA,2012 Kia cee'd Sportswagon,Compact,Compact
113,CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Compact
114,AUDI,AUDI A3 Sedan (2020-Present),Compact,Compact
115,DS AUTOMOBILES,DS AUTOMOBILES DS 5 (2016-Present),Compact,Compact
116,OPEL,2022 Opel Astra Sport Tourer,Compact,Compact
117,BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Compact
