Company,Model,Silhouette
AUDI,2020 Audi A4 8W,0.3033271832914951
AUDI,2020 Audi A4 8W,0.19204113476343054
AUDI,AUDI S6 Sedan (2019-Present),-0.2817262148105087
AUDI,2023 Audi RS7 Sportback,0.4178479215592892
AUDI,2023 Audi RS7 Sportback,0.4214173200121051
AUDI,AUDI RS4 Avant (B9) (2019-Present),0.25724625543086227
AUDI,AUDI A6 Avant (C8) (2018-Present),-0.0012639933724533955
AUDI,AUDI A6 Avant (C8) (2018-Present),0.027943928596011726
AUDI,AUDI A6 Avant (C8) (2018-Present),0.1303725368175924
AUDI,AUDI A6 Avant (C8) (2018-Present),0.10829130419439777
AUDI,AUDI A6 Avant (C8) (2018-Present),0.21373994350274042
AUDI,AUDI A6 Avant (C8) (2018-Present),-0.13739384931988988
AUDI,AUDI A6 Avant (C8) (2018-Present),-0.2159868870357692
AUDI,AUDI A6 (2018-Present),0.009660221743037517
AUDI,AUDI A6 (2018-Present),0.1307869144336848
AUDI,AUDI A6 (2018-Present),0.2187556516747617
AUDI,AUDI A6 (2018-Present),0.10928640653315129
AUDI,AUDI A6 (2018-Present),0.13538888328019252
AUDI,AUDI A6 (2018-Present),-0.11773253576995459
AUDI,AUDI A6 (2018-Present),-0.20439035942789632
AUDI,AUDI Q3 (2018-Present),0.5417057471965023
AUDI,AUDI Q3 (2018-Present),0.5112103556252827
AUDI,AUDI Q3 (2018-Present),0.4086684816059632
AUDI,AUDI Q3 (2018-Present),0.32278111039625806
AUDI,AUDI Q3 (2018-Present),0.5054982710959508
AUDI,AUDI Q3 (2018-Present),0.4285370457391
AUDI,AUDI Q3 (2018-Present),0.5201158597075755
AUDI,AUDI Q3 (2018-Present),0.45490425104023074
AUDI,2020 Audi A1 citycarver,0.516028201133799
AUDI,2020 Audi A1 citycarver,0.5164015099460819
AUDI,2020 Audi A1 citycarver,0.5172397437263375
AUDI,2020 Audi A1 citycarver,0.4770030474203393
AUDI,AUDI A1 Sportback (2018-Present),0.5155763039971353
AUDI,AUDI A1 Sportback (2018-Present),0.5157904324313317
AUDI,AUDI A1 Sportback (2018-Present),0.4767148860898198
AUDI,AUDI R8 Spyder (2018-Present),0.2881142112384682
AUDI,AUDI RS 3 Sportback (2021-Present),0.029087456963117812
AUDI,AUDI A7 Sportback (2017-Present),-0.0014078877220767543
AUDI,AUDI A7 Sportback (2017-Present),0.028097316191458326
AUDI,AUDI A7 Sportback (2017-Present),0.20606088482635176
AUDI,AUDI A7 Sportback (2017-Present),0.10953654721593288
AUDI,AUDI A7 Sportback (2017-Present),0.19367032955048546
AUDI,AUDI A7 Sportback (2017-Present),0.14373828403335062
AUDI,AUDI A8 (2017-Present),0.27157462216879236
AUDI,AUDI A8 (2017-Present),-0.08482475681059252
AUDI,AUDI A8 L (2017-Present),0.29790489865499986
AUDI,AUDI A8 L (2017-Present),0.27963535925034266
AUDI,AUDI A8 L (2017-Present),-0.0905521079860335
AUDI,AUDI A5 (2016-Present),0.3762136979399113
AUDI,AUDI A5 (2016-Present),0.4066828125595946
AUDI,AUDI A5 (2016-Present),0.3086600624331393
