Company,Model,F1,F2
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),0.6614266881491223,-0.254511164305692
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),0.4900483005762604,-0.13200578222815224
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.5443795218807315,0.2572325780237285
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.27118448114513516,0.5351885275261627
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.5549043181446537,-0.3444241651504399
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.04968045592269649,-0.7106942239654044
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.2191197088026452,-0.5891050432954263
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.4766758094563237,-0.3536399358054204
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.4642989252793459,-0.3801836607085982
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.1692436711473426,-0.7805170372546608
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.03632278234934049,-0.6369445741094321
ALFA ROMEO,ALFA ROMEO Stelvio Quadrifoglio (2017-Present),2.0279371655474465,-0.2431004385531223
ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,2.3137298211676582,-1.2880951102894131
ALPINE,ALPINE A110 (2017-Present),0.9570235787671816,-2.644722368384847
ALPINE,ALPINE A110 (2017-Present),1.0220784480203597,-2.603778660430594
ARIEL,ARIEL Atom 3 (2008-Present),1.2640406182461732,-3.8056643293612202
ARIEL,ARIEL Atom 3 (2008-Present),1.116913874158117,-4.054753889488313
ARIEL,ARIEL Atom 3 (2008-Present),0.9426280636663046,-3.787843266502909
ARIEL,ARIEL Atom 3 (2008-Present),1.2640406182461732,-3.8056643293612202
ASTON MARTIN,ASTON MARTIN V12 Vantage Roadster (2022-Present),3.5334243472580376,-1.639802007932784
ASTON MARTIN,ASTON MARTIN DBX707 (2022-Present),3.048717437502092,0.7223296176835503
ASTON MARTIN,ASTON MARTIN DBX (2020-Present),2.3709254899770698,1.028387332357001
AUDI,2019 Audi Q8,0.5544602026827267,2.6390275317672387
AUDI,2019 Audi Q8,0.11458207249386658,2.947264007673946
AUDI,2019 Audi Q8,0.9704236500405765,1.7008799875964957
AUDI,AUDI S8 (2021-Present),2.0065168668140823,1.0988773479156566
AUDI,AUDI R8 V10 performance RWD (2021-Present),3.392487072100986,-2.365578388028799
AUDI,AUDI R8 Coupe (2018-Present),3.359630407099514,-2.067493941090979
AUDI,AUDI R8 Coupe (2018-Present),3.2972213858998685,-2.1608641759886447
AUDI,AUDI R8 Coupe (2018-Present),3.543124168542825,-2.353369890002573
AUDI,AUDI A3 Sportback (2020-Present),-0.044636943200661174,-0.9290804326547146
AUDI,AUDI A3 Sportback (2020-Present),-0.3194175203573405,-0.6812362968089019
AUDI,AUDI A3 Sportback (2020-Present),0.11768248920627096,-0.8371693698804682
AUDI,AUDI A3 Sportback (2020-Present),-0.047966691757433594,-0.8710026251652244
AUDI,AUDI A3 Sedan (2020-Present),-0.571023123197416,-0.5901786971229949
AUDI,AUDI A3 Sedan (2020-Present),0.08066010103484611,-0.9320517336520044
AUDI,AUDI A3 Sedan (2020-Present),-0.2593512767513758,-0.6022841830179064
AUDI,AUDI A3 Sedan (2020-Present),0.2493333327418049,-0.8439516657259651
AUDI,AUDI A3 Sedan (2020-Present),-0.5750121140631761,-0.5114771636743197
AUDI,AUDI A3 Sedan (2020-Present),0.07551742018217003,-0.8625800080073751
AUDI,AUDI S3 Sportback (2020-Present),0.9596729288657143,-1.1180445851691412
AUDI,AUDI Q5 (2020-Present),-0.09076636842449042,0.737878296663748
AUDI,AUDI Q5 (2020-Present),0.18860071487425567,0.7288687966444342
AUDI,AUDI Q5 (2020-Present),1.020376983664776,0.46170695730110944
AUDI,AUDI Q5 (2020-Present),0.21531868786549538,0.5719964205907783
AUDI,AUDI Q5 (2020-Present),0.6213694677691788,0.32311445403709915
AUDI,AUDI RS 3 Sedan (2021-Present),1.4147117714825017,-1.022987622187736
AUDI,AUDI S5 Cabriolet (2020-Present),1.2494591625210751,-0.17558886769863433
AUDI,AUDI S3 Sedan (2020-Present),0.993466931254848,-1.070448409999242
AUDI,AUDI S5 Sportback (2020-Present),1.206052184558224,-0.19670757239542158
AUDI,AUDI Q7 (2019-Present),1.1970673255841193,1.3063828935483366
AUDI,AUDI Q7 (2019-Present),0.6832726603325939,1.6631578830204514
AUDI,AUDI Q7 (2019-Present),1.0461505208630661,1.4567874938769902
AUDI,AUDI RS5 Sportback (2019-Present),1.5021038795713062,-0.29340754363957267
AUDI,2020 Audi A4 Avant,-0.09050768161651684,0.42469949722564226
AUDI,2020 Audi A4 Avant,0.33945861197165245,0.13308968600119578
AUDI,2020 Audi A4 Avant,0.6787877735364798,0.04770672852024743
AUDI,2020 Audi A4 Avant,-0.24802436026791164,0.5699951248990215
AUDI,2020 Audi A4 Avant,0.08138282227721239,0.3442820473454807
AUDI,2020 Audi A4 Avant,0.25877188007653373,0.3884697095722716
AUDI,2020 Audi A4 Avant,0.9479590926871889,0.11245670276775331
AUDI,AUDI A5 Sportback (2019-Present),-0.20772721819845458,0.17179969487024138
AUDI,AUDI A5 Sportback (2019-Present),-0.2278903766110142,0.24009317411738249
AUDI,AUDI A5 Sportback (2019-Present),-0.01673837490999049,0.13089263626848577
AUDI,AUDI A5 Sportback (2019-Present),0.01102980921599706,0.2486673082887501
AUDI,AUDI A5 Sportback (2019-Present),0.7559887656083308,-0.2659929424660354
AUDI,AUDI A5 Sportback (2019-Present),-0.15079534622690238,0.061732930625219874
AUDI,AUDI A5 Sportback (2019-Present),-0.02392827961300787,0.0345726840790992
AUDI,AUDI A5 Sportback (2019-Present),0.04865389510818366,0.2626594663471929
AUDI,AUDI A5 Sportback (2019-Present),1.1652368961399666,-0.16766748212603894
AUDI,AUDI A5 Sportback (2011-Present),-0.11445817337966387,0.2638359341707455
AUDI,AUDI A5 Sportback (2011-Present),-0.2939943637423908,0.46809634876558337
AUDI,AUDI A5 Sportback (2011-Present),0.0016483725969845154,0.26322403972216424
AUDI,AUDI A5 Sportback (2011-Present),0.6180091777430547,-0.22384029999229604
AUDI,AUDI A5 Sportback (2011-Present),0.42228972129881,-0.016740541356231608
AUDI,AUDI A5 Sportback (2011-Present),0.5700698871075166,-0.07130204949359911
AUDI,AUDI A5 Sportback (2011-Present),0.5658713855949182,-0.0021776860644203947
AUDI,AUDI A5 Sportback (2011-Present),0.9710388172774094,-0.05424697890812851
AUDI,AUDI A5 Sportback (2011-Present),-0.1661010743571362,0.43457975325416204
AUDI,AUDI A5 Sportback (2011-Present),-0.3009302110165865,0.5736219001997619
AUDI,AUDI A5 Sportback (2011-Present),-0.28239276949469005,0.5711165812198425
AUDI,AUDI A5 Sportback (2011-Present),0.27452786950084135,0.16894879333661908
AUDI,AUDI A5 Sportback (2011-Present),0.35362703366722936,0.1811935782437477
AUDI,AUDI A5 Sportback (2011-Present),0.3098651311827218,0.27393026813365934
AUDI,AUDI A5 Sportback (2011-Present),-0.18870675189422179,0.42883815750172904
AUDI,AUDI A5 Sportback (2011-Present),0.061156903102075624,0.29100999147752143
AUDI,AUDI A5 Sportback (2011-Present),0.7986134678402033,0.09371546825591334
AUDI,AUDI A5 Sportback (2011-Present),1.0479219580725947,-0.02997758213729178
AUDI,AUDI SQ7 (2019-Present),1.680520240920401,1.9269840498496893
AUDI,2019 Audi A6 allroad quattro,1.0722311122001436,-0.1087778517001289
AUDI,2019 Audi A6 allroad quattro,1.0902762982882774,0.6035180679582164
AUDI,2020 Audi A4 8W,0.03087466585085773,0.04249568252278946
AUDI,2020 Audi A4 8W,-0.47942340343190215,0.2571997219649289
AUDI,2020 Audi A4 8W,-0.22769929056247334,0.28576548507859495
AUDI,2020 Audi A4 8W,0.12501818999076267,0.0360870350990491
AUDI,2020 Audi A4 8W,0.2955930791428582,0.09878267039955534
AUDI,2020 Audi A4 8W,0.9113621935185295,-0.11844323657984598
