Company,Model,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),0.39989994474929674,0.23901434805723926,0.011526625520224385,0.19478836844501,0.027224806354275977,5.4057636721058895e-05,0.0738680433739061,0.0006771240386264317,0.002513479089598038,0.008993957867098968,0.007058675593714715,0.033597665291753544,0.0007829039825346352
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),0.4052367378395896,0.15910698541937301,0.2367739057278597,0.03753081404162745,0.00614091823733493,0.01067972544027634,0.0070979001315271085,0.014718666443331781,0.055777451282899154,0.017889823387963515,0.03836855386725475,0.00961300361352129,0.0010655145674411768
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.5460167696460213,0.035040102792209586,0.10317411101819925,0.003490537722325998,0.05678012363988256,0.0172082613928177,0.15934428978189705,0.034150673778017906,0.0038723813077206166,0.0047290046710742545,0.019526229057002277,0.004931283449501156,0.011736231743330279
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.5286581464847032,0.16364298108004843,0.039018576600395656,0.03612170952131722,0.02937777284166992,0.003766827755433576,0.10146443562047201,0.005571731923140512,0.03279942080830998,0.0031624547994341477,0.020955644338926986,0.01952188275407206,0.015938415472076164
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.6423816815162843,0.034460754380244665,0.04744000081529398,0.033420036468960745,0.10433773312385564,0.004766544633357611,0.003355405907197584,0.06355110364031445,0.004979435721187984,0.01174024995454268,0.0006077096714544722,0.04593330684935362,0.0030260373179524084
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.38208700317130917,0.20828714215535327,0.02689627464330566,5.5018954076163634e-05,0.016773086022641215,0.004663552510728515,0.03494050103302972,0.26795605705030967,5.512366530264953e-05,0.026771635569017502,0.010606523159437525,0.020727382417397026,0.00018069964809193435
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.5025038592179688,0.15612910942789682,0.0004881457837598869,0.009640132536539022,0.04201319819584289,0.005186880500333196,0.026455859135394777,0.17727377319784207,0.0037578661539944148,0.028519988772262948,0.008221945224208679,0.03927117491245881,0.0005380669414976731
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.541353637160338,0.007679004132629127,0.08665548984976137,0.13125117930563404,0.06706580093077773,0.02859849502842771,0.03524172728510131,0.03297368620988822,0.018163795079368092,0.0289381968925234,0.006130933030128369,0.015681260486355056,0.00026679460906753723
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.5374751380073989,0.010053295975124646,0.09044412271065172,0.1283942430042366,0.062443765656565675,0.028019054880956903,0.030778006418348023,0.036797888923112275,0.01828389384626787,0.027561308521426596,0.008326938522735628,0.02139407100751979,2.8272525655496466e-05
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.17851130651148506,0.31289238549526865,0.10317241903229281,0.13402467471019266,0.00264382510545349,0.04219721363681781,0.0025592210616614797,0.14190200270195463,0.021436251430957856,0.005252157598011376,0.036936299916791336,0.016341240438270933,0.002131002360841814
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.28780292629851695,0.16059365990929217,0.08512374421862934,0.18187852831949217,0.01729509247306841,0.05381390180288993,0.03080339878765591,0.04872452455947062,0.05708437738577782,0.01797385353968635,0.037583654584393895,0.019507713891257914,0.001814624229868637
ALFA ROMEO,ALFA ROMEO Stelvio Quadrifoglio (2017-Present),0.7520415589624285,0.03824264941960828,0.019617760693709598,0.008364697095476631,0.10071465144900493,0.017281434180108125,0.023620722412905495,0.00530462283249828,0.010925219668557272,0.005539641181299807,0.0015289641931144084,0.01585320468680756,0.000964873224481199
ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,0.4987622063990778,0.3170341363979692,0.0029835902907441145,0.01561688050445201,0.09366840465611165,0.00011413503103677844,0.0016328188738304976,6.259750851573834e-06,0.014923380970122786,0.013263924604613248,0.016936769723181786,0.025051398783885813,6.094014122607998e-06
ALPINE,ALPINE A110 (2017-Present),0.08862529075620505,0.8454019115743846,0.0038328378082125966,0.004117955593451908,0.0006839485990052796,0.01586658941555368,0.013146273198563948,0.00874170011770864,0.00040586204716147584,0.0005529909547513555,0.001063881806838059,0.004841642405035941,0.012719115723127535
ALPINE,ALPINE A110 (2017-Present),0.07191285148766445,0.8549074125537092,0.001096140823678323,0.0006244500425400585,0.003463829095253397,0.017254483282539926,0.01865705588610147,0.010611953978748506,0.0010278023806438155,0.001502206262459734,0.0002451275648163863,0.004111425003944517,0.014585261637900169
ARIEL,ARIEL Atom 3 (2008-Present),0.04544443009635283,0.7457207298620583,0.020286875546870788,0.0002985964299847848,0.007677412919601162,0.023769997596655646,0.002951329085637151,0.03797289826589669,0.00019966998984055943,0.017171052441804634,0.0541156546758835,0.03991323888548379,0.004478114203930128
ARIEL,ARIEL Atom 3 (2008-Present),0.08687558630181126,0.6816568677072634,0.014511574678476242,0.0015225064253824015,0.0023956676668148032,0.027508412280508612,0.0016110835131502863,0.06169929382606555,0.00020432030219971165,0.0020172068629847875,0.07727903403807303,0.040724109078179554,0.001994337319090247
ARIEL,ARIEL Atom 3 (2008-Present),0.11617359236567569,0.659655930304153,0.009691773075642776,0.0014906343922154713,7.721094253738933e-06,0.02858391709922442,0.00047194418958745686,0.08327835361288635,0.0004952373904389982,0.0003741197512902192,0.060676135912108055,0.03329928381396168,0.005801356998562145
