Company,Model,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),0.0001480647074125958,0.00027187641616879056,3.0036226076900847e-05,0.0007952291134260336,0.00012976111937614145,2.783648162145258e-07,0.0006629343069903191,7.798687115338227e-06,3.496982826211405e-05,0.00016236809347121967,0.00016138981484940676,0.0009579988455676484,2.846974413048055e-05
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),8.65036095575291e-05,0.00010434268831200005,0.0003557150410297985,8.833695931760406e-05,1.6874787379562288e-05,3.170608246466678e-05,3.672560795919655e-05,9.773428465699849e-05,0.00044740630393086205,0.0001862006128726161,0.0005057705547559537,0.000158030241055453,2.233879094551094e-05
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.00027153181802179607,5.353372615958338e-05,0.0003611008025492106,1.913974399850507e-05,0.00036348848330620905,0.00011901695050798942,0.0019207239036047683,0.0005282835393052634,7.236205228366474e-05,0.00011466585745014993,0.0005996334031641384,0.00018885582754984658,0.0005732159623658741
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.00020386431597819229,0.00019387018431778045,0.0001058962740125924,0.0001535902417314473,0.0001458359950086868,2.0202221345320386e-05,0.0009484049667277173,6.68358620888178e-05,0.0004752810233145267,5.946210043642057e-05,0.0004990223490714882,0.0005797538794054791,0.0006036514970301912
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.00020991099425555942,3.459506680178168e-05,0.0001091012427541327,0.00012041428187120542,0.00043889740186832236,2.166221090337155e-05,2.6576684014306138e-05,0.0006459786892379052,6.114207629028815e-05,0.00018705486800072498,1.2262834802211538e-05,0.0011559137454291734,9.711608587117697e-05
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.00010017921333450045,0.00016777419679786052,4.963070616197711e-05,1.5905844213934532e-07,5.661192222902491e-05,1.700549589744441e-05,0.0002220537799117316,0.002185405272099109,5.43089558652662e-07,0.000342247189247776,0.00017172799060930397,0.0004185192995541842,4.653154916363781e-06
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.00012577222029580781,0.00012005398050686019,8.598799860747012e-07,2.6604639207667518e-05,0.00013536632680271016,1.8055463708546403e-05,0.0001605021617016347,0.0013802026944757823,3.534310069693234e-05,0.0003480521415359833,0.00012707865138821995,0.0007569634302768642,1.3226851856791325e-05
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.00021269187754862983,9.268769941074333e-06,0.0002396121850748791,0.0005685937779957665,0.00033919585525071,0.00015626801779835943,0.0003356145049906013,0.00040298641210071253,0.00026816028218301066,0.0005543588013823292,0.00014874730645036288,0.0004744675256027063,1.0294890909617435e-05
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.0002097406106201277,1.2052578593861195e-05,0.0002483976430437805,0.0005524573322223328,0.00031368431876749043,0.0001520669053782265,0.0002911242108472627,0.0004466837036158427,0.00026810866712973625,0.0005244131997835436,0.0002006606424357559,0.0006429441644999331,1.083586555824608e-06
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),4.207986087486601e-05,0.0002265953098446139,0.0001711650739320455,0.0003483552589136665,8.022705758589622e-06,0.00013834052492550577,1.4622783774789514e-05,0.0010405193180131726,0.00018987833872253837,6.036649349368796e-05,0.0005376685656686029,0.00029665335519850024,4.9336387970349305e-05
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),7.358341416264656e-05,0.00012614222300405675,0.00015317166005689596,0.0005127376437535143,5.6922922979523087e-05,0.00019135344661383482,0.0001908961008572512,0.00038751221380252653,0.0005484284956390682,0.00022406579377037602,0.0005933848160919451,0.00038410219098726646,4.55665646759814e-05
ALFA ROMEO,ALFA ROMEO Stelvio Quadrifoglio (2017-Present),0.0014768758034161811,0.00023072649133479696,0.0002711405912075677,0.0001811262500036278,0.0025460935902546678,0.0004719967342153472,0.001124369355195124,0.00032404826504075146,0.0008062139831795401,0.0005304365029118043,0.0001854181061363091,0.0023975897819984928,0.00018610037233863342
