Company,Model,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),1.321279482460199,1.02148267532242,0.22432109227579003,-0.9221477883361328,0.3447477327536642,-0.015361992428212038,-0.5678678959048641,-0.05436922406963011,0.10475063329877093,0.19815016731995583,-0.17554183360680653,-0.3829777723096111,-0.05846194636356068
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),1.0099178064778336,0.6328142466101043,0.7719666583772761,-0.30734462081067065,0.12432208406727757,0.16395009330170848,-0.13365849495713764,0.19247124517442635,-0.37468038433833917,0.212194757917772,-0.3107558690363563,-0.15554683440983058,-0.051785875166193915
ALFA ROMEO,2023 Alfa Romeo Stelvio,1.7892839998860903,-0.4532720849064488,-0.7777887470635743,-0.14306139503775736,0.5769981951873367,-0.31764701969550385,-0.9665949908731806,-0.44748236637228667,0.1506833772091403,0.16651798972837545,-0.338365034043122,-0.17004202606975463,0.2623255704933466
ALFA ROMEO,2023 Alfa Romeo Stelvio,1.5503848713249464,-0.8625827098220746,-0.4211994239244901,0.40526230042442696,0.36547821201485636,-0.130869950546579,-0.6792176758725202,-0.1591648498003225,-0.38617587991153973,0.11991243466568778,-0.308675788974062,-0.29792908819224856,0.26919973570207095
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-1.5732093089834243,0.3643781476914128,-0.4275257499831225,-0.35883384056853335,-0.6340312035952944,0.13551637177680828,-0.11370052395082172,-0.4948248276937493,-0.138509639476384,0.2126809567171451,-0.04838803739656484,-0.42068186425617765,-0.10797595985022267
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-1.0868202536933047,0.8024312271224286,0.28835179282906864,0.0130416564505982,-0.22771051092593286,0.120070142536916,-0.3286556893503105,-0.9101403733515997,0.013054060891321188,0.28768289658387397,-0.18107692586345042,-0.2531330317508896,-0.023634980263667126
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-1.2177588053944766,0.6787870044646424,-0.03795476869646416,-0.16866814950774897,-0.3521149375398777,0.12372136391504143,-0.27941679868386476,-0.7232922673305863,-0.10530821018808693,0.29011237400617823,-0.15576822367147508,-0.3404305489858107,-0.03984829399163144
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-1.5835958946769921,0.18860634040120458,0.6335806111856582,0.7797501102881931,-0.5573838685287297,0.363978245648408,0.4040475063420383,-0.39082972590744236,-0.29007288510766577,0.3661335877784631,-0.1685260818771031,-0.2695220630345417,-0.03515542581573596
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-1.572570696561269,0.2150726682392645,0.6450912691245605,0.7686059892522521,-0.5360132573975037,0.3590523137741044,0.3763147417623865,-0.411474040163767,-0.29004496738655805,0.3561073233890999,-0.19573733360378845,-0.31374564427452156,-0.01140547277525126
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.7043784529152998,0.932546926829065,0.5354944878212564,0.6103312104024403,-0.08572145997943215,0.34246412648331415,0.08433873809374735,-0.6280113032694178,-0.24408866900550855,0.12082090171637383,-0.3204054480371115,-0.2131158291552577,0.07696001850898496
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.9314485736525246,0.6957856654084237,0.5065667011696448,0.7404606688781973,-0.22833512445608942,0.4027713032406451,0.3047267630929246,-0.3832525775222341,-0.41482976798198795,0.23277261125293733,-0.33659742038721535,-0.24250152161562633,0.07396131635060992
ALFA ROMEO,ALFA ROMEO Stelvio Quadrifoglio (2017-Present),4.172928104622261,0.9410094133771405,-0.6739764132505066,0.44009363877181756,1.5270958918930058,-0.6325718661209851,-0.7395483453857352,-0.3504670854704476,0.5029618800859429,0.35814657257497184,-0.18815624579692516,0.6058686978654394,0.14947036986518578
ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,3.3829104447900473,2.697098116371801,0.2616455331447792,-0.5986057384234719,1.4660213461153164,-0.05117445342491578,-0.19355871849126136,0.011984564474292516,0.5851636567281765,0.5516704915490875,-0.6233888405497165,0.75815800075006,-0.01182484509942818
ALPINE,ALPINE A110 (2017-Present),-1.340566227577655,4.14038808774976,0.2787851641542898,-0.2889683427056498,0.11776633776533162,-0.5672196001991265,-0.5163102706800736,-0.4210245202679588,-0.0907190844213063,0.10589329240487756,-0.14687778982401353,-0.31333275169884617,0.5078528535361673
ALPINE,ALPINE A110 (2017-Present),-1.1844653306908655,4.083933295024734,0.14623531833051479,-0.11037429645828345,0.2599544920494794,-0.5801897841953568,-0.6033101818262663,-0.4550056374382925,0.141603474018424,0.17119216434277837,-0.06915366057657506,-0.28321436982123926,0.5334284940945976
ARIEL,ARIEL Atom 3 (2008-Present),-1.4374042154604012,5.822730524100155,-0.9603867638390693,0.11651474497925894,0.5908075451982439,-1.0395685979046108,0.3663088424610532,-1.3139397650818427,-0.09527851537383059,0.8835620227182698,-1.5685560488033112,-1.3470914173650426,-0.45121774002029347
ARIEL,ARIEL Atom 3 (2008-Present),-2.033020249477259,5.694764084451896,-0.8309025669114115,-0.2691363741073682,0.33760285900108017,-1.1439988619528152,0.2768546720103344,-1.713298074395126,0.09859356973542774,0.3097904664798486,-1.9174483424000097,-1.3919339450484491,-0.3080293774574085
ARIEL,ARIEL Atom 3 (2008-Present),-2.2518409990601604,5.365902140830665,-0.6504076354562717,-0.25507599011317683,0.018357918588089425,-1.116978681595664,0.1435255878502679,-1.906558247042515,-0.14702484349672404,-0.1277877816514643,-1.6273949735000992,-1.2055950579712909,-0.5032094731234074
