Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity
BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Diesel,150.0,350.0,1995.0,179.8,70.9,63.3,109.4,22.8,3715.0,127.0,9.4,49.0,13.5
BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Diesel,190.0,400.0,1995.0,179.8,70.9,63.3,109.4,22.8,3594.0,137.0,8.0,51.1,13.5
BMW,BMW 2 Series Gran Tourer (F46) (2018-Present),Compact,Diesel,190.0,400.0,1995.0,179.8,70.9,63.3,109.4,22.8,3726.0,135.0,7.8,48.0,13.5
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,109.0,180.0,1499.0,170.4,69.5,55.9,105.9,12.7,3031.0,121.0,10.9,47.0,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,136.0,220.0,1499.0,170.4,69.5,55.9,105.9,12.7,3031.0,130.0,8.5,47.0,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,136.0,220.0,1499.0,170.4,69.5,55.9,105.9,12.7,3064.0,130.0,8.7,49.0,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,184.0,290.0,1998.0,170.4,69.5,55.9,105.9,12.7,3175.0,143.0,7.1,41.3,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,184.0,270.0,1998.0,170.4,69.5,55.9,105.9,12.7,3197.0,140.0,7.1,42.8,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,224.0,310.0,1998.0,170.4,69.5,55.9,105.9,12.7,3252.0,151.0,6.1,41.3,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Gasoline,340.0,500.0,2998.0,170.4,69.5,55.9,105.9,12.7,3406.0,155.0,4.6,33.1,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,116.0,270.0,1496.0,170.4,69.5,55.9,105.9,12.7,3075.0,124.0,10.3,63.6,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,116.0,270.0,1496.0,170.4,69.5,55.9,105.9,12.7,3142.0,124.0,10.3,65.3,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,116.0,270.0,1496.0,170.4,69.5,55.9,105.9,12.7,3075.0,121.0,10.4,69.2,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,150.0,320.0,1995.0,170.4,69.5,55.9,105.9,12.7,3142.0,132.0,8.3,58.8,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,150.0,320.0,1995.0,170.4,69.5,55.9,105.9,12.7,3197.0,132.0,8.1,61.9,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,150.0,320.0,1995.0,170.4,69.5,55.9,105.9,12.7,3296.0,130.0,8.4,54.7,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,190.0,400.0,1995.0,170.4,69.5,55.9,105.9,12.7,3186.0,142.0,7.1,57.4,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,190.0,400.0,1995.0,170.4,69.5,55.9,105.9,12.7,3219.0,142.0,7.0,60.3,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,190.0,400.0,1995.0,170.4,69.5,55.9,105.9,12.7,3362.0,138.0,6.8,54.7,13.7
BMW,BMW 1 Series 3 doors (F20) LCI (2017-Present),Compact,Diesel,224.0,450.0,1995.0,170.4,69.5,55.9,105.9,12.7,3307.0,149.0,6.3,54.7,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Gasoline,136.0,220.0,1499.0,174.5,69.8,55.6,105.9,9.9,3472.0,129.0,9.4,42.8,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Gasoline,136.0,220.0,1499.0,174.5,69.8,55.6,105.9,9.9,3516.0,127.0,9.6,44.4,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Gasoline,184.0,270.0,1998.0,174.5,69.8,55.6,105.9,9.9,3560.0,140.0,7.7,40.6,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Gasoline,252.0,350.0,1998.0,174.5,69.8,55.6,105.9,9.9,3638.0,155.0,5.9,39.2,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Gasoline,340.0,500.0,2998.0,174.5,69.8,55.6,105.9,9.9,3737.0,155.0,4.9,28.3,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Gasoline,340.0,500.0,2998.0,174.5,69.8,55.6,105.9,9.9,3770.0,155.0,4.7,31.8,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Gasoline,340.0,500.0,2998.0,174.5,69.8,55.6,105.9,9.9,3880.0,155.0,4.6,30.2,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Diesel,150.0,320.0,1995.0,174.5,69.8,55.6,105.9,9.9,3527.0,129.0,8.9,54.7,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Diesel,150.0,320.0,1995.0,174.5,69.8,55.6,105.9,9.9,3560.0,127.0,8.7,57.4,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Diesel,190.0,400.0,1995.0,174.5,69.8,55.6,105.9,9.9,3560.0,140.0,7.5,53.5,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Diesel,190.0,400.0,1995.0,174.5,69.8,55.6,105.9,9.9,3605.0,140.0,7.4,57.4,13.7
BMW,BMW 2 Series Convertible (F23) LCI (2017-Present),Roadster & Convertible,Diesel,224.0,450.0,1995.0,174.5,69.8,55.6,105.9,9.9,3649.0,146.0,6.4,51.1,13.7
BMW,BMW Z4 (G29) (2018-Present),Roadster & Convertible,Gasoline,197.0,320.0,1994.0,170.2,73.4,51.3,97.2,9.9,3263.0,149.0,6.6,38.6,13.7
BMW,BMW Z4 (G29) (2018-Present),Roadster & Convertible,Gasoline,258.0,400.0,1998.0,170.2,73.4,51.3,97.2,9.9,3263.0,155.0,5.4,38.6,13.7
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Gasoline,184.0,290.0,1998.0,189.9,72.0,59.4,115.0,18.4,3483.0,143.0,8.0,36.8,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Gasoline,184.0,290.0,1998.0,189.9,72.0,59.4,115.0,18.4,3527.0,142.0,8.1,38.6,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Gasoline,184.0,290.0,1998.0,189.9,72.0,59.4,115.0,18.4,3660.0,141.0,8.1,33.1,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Gasoline,184.0,290.0,1998.0,189.9,72.0,59.4,115.0,18.4,3693.0,139.0,8.4,35.6,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Gasoline,252.0,350.0,1998.0,189.9,72.0,59.4,115.0,18.4,3571.0,155.0,6.1,37.9,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Gasoline,252.0,350.0,1998.0,189.9,72.0,59.4,115.0,18.4,3715.0,155.0,6.2,35.1,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Gasoline,326.0,450.0,2998.0,189.9,72.0,59.4,115.0,18.4,3660.0,155.0,5.1,32.2,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Gasoline,326.0,450.0,2998.0,189.9,72.0,59.4,115.0,18.4,3803.0,155.0,5.0,30.5,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,150.0,320.0,1995.0,189.9,72.0,59.4,115.0,18.4,3461.0,130.0,9.3,50.0,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,150.0,320.0,1995.0,189.9,72.0,59.4,115.0,18.4,3461.0,130.0,9.2,52.3,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,190.0,400.0,1995.0,189.9,72.0,59.4,115.0,18.4,3483.0,143.0,7.8,49.0,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,190.0,400.0,1995.0,189.9,72.0,59.4,115.0,18.4,3516.0,140.0,7.7,51.1,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,190.0,400.0,1995.0,189.9,72.0,59.4,115.0,18.4,3627.0,143.0,7.8,46.1,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,190.0,400.0,1995.0,189.9,72.0,59.4,115.0,18.4,3660.0,140.0,7.7,49.0,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,224.0,450.0,1995.0,189.9,72.0,59.4,115.0,18.4,3594.0,149.0,6.4,47.0,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,258.0,560.0,2993.0,189.9,72.0,59.4,115.0,18.4,3814.0,155.0,5.4,42.0,15.9
BMW,BMW 3 Series Gran Turismo LCI (F34) (2016-Present),Medium Premium,Diesel,313.0,630.0,2993.0,189.9,72.0,59.4,115.0,18.4,3847.0,155.0,4.9,41.3,15.9
BMW,BMW M4 CS (F82) (2017-Present),Coupe,Gasoline,460.0,600.0,2979.0,183.9,73.6,54.7,110.7,15.7,3483.0,174.0,3.9,28.0,15.9
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Gasoline,140.0,220.0,1499.0,178.2,70.9,55.9,105.1,15.2,3031.0,134.0,8.7,41.3,11.1
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Gasoline,140.0,220.0,1499.0,178.2,70.9,55.9,105.1,15.2,3197.0,134.0,8.7,43.6,11.1
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Gasoline,306.0,450.0,1998.0,178.2,70.9,55.9,105.1,15.2,3627.0,155.0,4.9,33.1,11.1
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Diesel,150.0,350.0,1995.0,178.2,70.9,55.9,105.1,15.2,3142.0,138.0,8.6,56.0,11.1
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Diesel,150.0,350.0,1995.0,178.2,70.9,55.9,105.1,15.2,3241.0,138.0,8.5,56.0,11.1
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Diesel,190.0,400.0,1995.0,178.2,70.9,55.9,105.1,15.2,3483.0,146.0,7.5,52.3,11.1
BMW,BMW 2 Series Gran Coupe (F44) (2019-Present),Entry Premium,Diesel,190.0,400.0,1995.0,178.2,70.9,55.9,105.1,15.2,3450.0,145.0,7.3,52.3,13.2
BMW,2020 BMW 8 Series Gran Coupe,Upper Premium,Gasoline,340.0,500.0,2998.0,200.1,76.1,55.4,119.0,15.5,4134.0,155.0,5.2,31.4,18.0
BMW,2020 BMW 8 Series Gran Coupe,Upper Premium,Gasoline,340.0,500.0,2998.0,200.1,76.1,55.4,119.0,15.5,4255.0,155.0,4.9,30.2,18.0
BMW,2020 BMW 8 Series Gran Coupe,Upper Premium,Gasoline,530.0,750.0,4395.0,200.1,76.1,55.4,119.0,15.5,4564.0,155.0,3.9,23.5,18.0
BMW,2020 BMW 8 Series Gran Coupe,Upper Premium,Diesel,320.0,680.0,2993.0,200.1,76.1,55.4,119.0,15.5,4409.0,155.0,5.1,37.3,18.0
BMW,BMW M8 Gran Coupe (2022-Present),Compact,Gasoline,625.0,750.0,4395.0,200.7,76.5,55.9,119.2,15.5,4398.0,155.0,3.2,20.3,18.0
BMW,BMW X3 M (F97) (2021-Present),Medium SUV,Gasoline,510.0,650.0,2993.0,185.7,74.7,65.7,112.8,19.4,4597.0,155.0,3.8,21.4,17.2
BMW,BMW X3 M (F97) (2019-Present),Medium SUV,Gasoline,480.0,600.0,2993.0,186.1,74.7,65.6,112.8,19.4,4343.0,155.0,4.2,22.4,17.2
BMW,BMW X3 M (F97) (2019-Present),Medium SUV,Gasoline,510.0,600.0,2993.0,186.1,74.7,65.7,112.8,19.4,4343.0,177.0,4.1,22.4,17.2
BMW,BMW X3 M (F97) (2019-Present),Medium SUV,Hybrid,292.0,420.0,1998.0,185.4,74.4,66.0,112.8,19.4,4387.0,130.0,6.1,98.0,17.2
BMW,BMW M3 Touring (2022-Present),Compact,Gasoline,510.0,650.0,2993.0,188.7,74.9,56.5,113.2,17.7,4112.0,155.0,3.6,22.6,15.6
BMW,BMW X4 M (F98) (2021-Present),Medium SUV,Gasoline,510.0,650.0,2993.0,187.2,75.9,63.8,112.8,18.5,4597.0,155.0,3.8,21.8,17.2
BMW,BMW X4 M (F98) (2019-Present),Medium SUV,Gasoline,480.0,600.0,2993.0,187.3,75.9,63.7,112.8,18.5,4343.0,155.0,4.2,22.4,17.2
BMW,BMW X4 M (F98) (2019-Present),Medium SUV,Gasoline,510.0,600.0,2993.0,187.3,75.9,63.7,112.8,18.5,4343.0,177.0,4.1,22.4,17.2
BUGATTI,2020 Bugati Chiron Pur Spot,Exotic,Gasoline,1500.0,1600.0,7993.0,178.9,80.2,47.7,106.7,1.6,4398.0,217.0,2.4,10.5,26.4
BUICK,2021 Buick Envision,Crossover,Mild Hybrid,240.3,350.0,1998.0,182.5,74.1,64.6,109.4,18.2,4167.0,130.0,8.4,30.9,18.0
BUICK,2021 Buick Envision,Crossover,Mild Hybrid,240.0,350.0,1998.0,182.5,74.1,64.6,109.4,18.2,3979.0,130.0,8.1,31.8,18.0
CHEVROLET,CHEVROLET Equinox (2020-Present),Crossover,Gasoline,170.0,275.0,1490.0,183.1,72.6,65.4,107.3,29.9,3375.0,124.0,8.8,25.0,14.8
CHEVROLET,CHEVROLET Equinox (2020-Present),Crossover,Gasoline,256.0,353.0,1998.0,183.1,72.6,65.4,107.3,29.9,3536.0,140.0,6.6,22.0,14.8
CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Gasoline,140.0,201.0,1364.0,177.7,70.7,58.1,105.7,14.6,3073.0,121.0,9.3,42.0,15.9
CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Gasoline,124.0,155.0,1598.0,177.7,70.7,58.1,105.7,14.6,2877.0,118.0,12.0,36.0,15.9
CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Gasoline,141.0,176.0,1796.0,177.7,70.7,58.1,105.7,14.6,2888.0,124.0,10.1,36.0,15.9
CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Gasoline,141.0,176.0,1796.0,177.7,70.7,58.1,105.7,14.6,3073.0,118.0,11.3,33.0,15.9
CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Diesel,131.0,300.0,1796.0,177.7,70.7,58.1,105.7,14.6,3316.0,124.0,10.2,52.0,15.9
CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Diesel,163.0,361.0,1998.0,177.7,70.7,58.1,105.7,14.6,3494.0,130.0,9.9,39.0,15.9
CHEVROLET,CHEVROLET Cruze HB5 (2011-Present),Compact,Diesel,163.0,361.0,1998.0,177.7,70.7,58.1,105.7,14.6,3316.0,127.0,9.2,49.0,15.9
CHEVROLET,2015 Chevrolet Corvette C7 Z06,Coupe,Gasoline,650.0,881.0,6162.0,176.9,75.9,48.6,106.7,15.0,3524.0,196.0,3.8,18.5,18.5
CHEVROLET,2015 Chevrolet Corvette C7 Z06,Coupe,Gasoline,659.0,881.0,6162.0,176.9,75.9,48.6,106.7,15.0,3524.0,196.0,3.7,16.7,18.5
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Gasoline,167.0,230.0,2384.0,184.0,72.8,68.0,106.6,3.4,4118.0,109.0,11.08,25.3,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Gasoline,167.0,230.0,2384.0,184.0,72.8,68.0,106.6,3.4,4063.0,116.0,10.3,25.3,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Gasoline,167.0,230.0,2384.0,184.0,72.8,68.0,106.6,3.4,3832.0,118.0,10.5,26.4,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Gasoline,258.0,287.0,2997.0,184.0,72.8,68.0,106.6,3.4,4167.0,123.0,9.02,22.4,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Diesel,163.0,251.0,2231.0,184.0,72.8,68.0,106.6,3.4,4306.0,113.0,11.2,29.8,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Diesel,184.0,400.0,2231.0,184.0,72.8,68.0,106.6,3.4,4306.0,119.0,11.0,29.8,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Diesel,163.0,251.0,2231.0,184.0,72.8,68.0,106.6,3.4,4251.0,117.0,11.0,36.8,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Diesel,184.0,400.0,2231.0,184.0,72.8,68.0,106.6,3.4,4251.0,124.0,9.7,36.8,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Diesel,163.0,251.0,2231.0,184.0,72.8,68.0,106.6,3.4,4140.0,114.0,11.1,31.4,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Diesel,184.0,400.0,2231.0,184.0,72.8,68.0,106.6,3.4,4306.0,119.0,10.0,31.4,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Diesel,163.0,251.0,2231.0,184.0,72.8,68.0,106.6,3.4,4085.0,117.0,10.4,37.9,17.2
CHEVROLET,CHEVROLET Captiva (2011-Present),Small SUV,Diesel,184.0,400.0,2231.0,184.0,72.8,68.0,106.6,3.4,4251.0,124.0,9.3,37.9,17.2
CHEVROLET,CHEVROLET Express (2008-Present),Large MPV,Gasoline,275.0,393.0,4807.0,224.0,79.4,81.6,135.0,22.8,4845.0,112.0,12.5,15.5,30.9
CHEVROLET,CHEVROLET Express (2008-Present),Large MPV,Gasoline,290.0,441.0,5328.0,224.0,79.4,81.6,135.0,22.8,5017.0,116.0,9.4,15.0,30.9
CHEVROLET,CHEVROLET Express (2008-Present),Large MPV,Gasoline,305.0,488.0,5967.0,224.0,79.4,81.6,135.0,22.8,5427.0,115.0,9.5,14.0,30.9
CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Gasoline,140.0,201.0,1364.0,184.1,70.7,58.4,105.7,17.7,3097.0,124.0,9.5,41.0,15.9
CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Gasoline,124.0,155.0,1598.0,184.1,70.7,58.4,105.7,17.7,2998.0,119.0,12.6,37.0,15.9
CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Gasoline,124.0,155.0,1598.0,184.1,70.7,58.4,105.7,17.7,2899.0,119.0,12.9,38.7,15.9
CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Gasoline,141.0,176.0,1796.0,184.1,70.7,58.4,105.7,17.7,3020.0,124.0,11.0,35.0,15.9
CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Diesel,131.0,300.0,1686.0,184.1,70.7,58.4,105.7,17.7,3417.0,124.0,10.4,52.0,15.9
CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Diesel,163.0,361.0,1998.0,184.1,70.7,58.4,105.7,17.7,3393.0,123.0,10.1,38.0,15.9
CHEVROLET,CHEVROLET Cruze Wagon (2012-Present),Compact,Diesel,163.0,361.0,1998.0,184.1,70.7,58.4,105.7,17.7,3351.0,124.0,8.8,44.0,15.9
CITROEN,CITROEN C3 (2019-Present),Compact,Gasoline,83.0,118.0,1199.0,157.3,68.9,57.9,100.0,10.6,2227.0,105.0,13.3,38.6,11.9
CITROEN,CITROEN C3 (2019-Present),Compact,Gasoline,110.0,205.0,1199.0,157.3,68.9,58.0,100.0,10.6,2403.0,119.0,10.0,36.8,11.9
CITROEN,CITROEN C3 (2019-Present),Compact,Gasoline,110.0,205.0,1199.0,157.4,68.9,57.9,100.0,10.6,2403.0,117.0,9.4,35.1,11.9
CITROEN,CITROEN C3 (2019-Present),Compact,Diesel,100.0,250.0,1499.0,157.4,68.9,57.9,100.0,10.6,2403.0,117.0,10.2,46.1,11.9
CITROEN,CITROEN Berlingo (2018-Present),Small MPV,Diesel,100.0,250.0,1499.0,173.2,72.8,71.3,109.6,27.4,3082.0,106.0,12.3,54.7,14.0
CITROEN,CITROEN Berlingo (2018-Present),Small MPV,Diesel,75.0,230.0,1499.0,173.2,72.8,71.3,109.6,27.4,3082.0,94.0,16.5,57.4,14.0
CITROEN,CITROEN Berlingo (2018-Present),Small MPV,Diesel,130.0,300.0,1499.0,173.2,72.8,71.3,109.6,27.4,3153.0,115.0,10.3,54.7,14.0
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Gasoline,130.0,230.0,1199.0,174.8,72.0,63.4,109.4,19.0,2862.0,127.0,10.2,46.1,14.5
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Gasoline,110.0,205.0,1199.0,174.8,72.0,63.4,109.4,19.0,2822.0,116.0,11.5,46.1,14.5
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Gasoline,130.0,230.0,1199.0,174.8,72.0,63.4,109.4,19.0,2822.0,125.0,10.1,47.0,14.5
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Gasoline,165.0,240.0,1598.0,174.8,72.0,63.4,109.4,19.0,2888.0,130.0,8.4,42.0,14.5
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Diesel,100.0,254.0,1560.0,174.8,72.0,63.4,109.4,19.0,2857.0,109.0,12.7,61.9,14.5
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Diesel,120.0,300.0,1560.0,174.8,72.0,63.4,109.4,19.0,2910.0,117.0,11.2,61.9,14.5
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Diesel,120.0,300.0,1560.0,174.8,72.0,63.4,109.4,19.0,2910.0,117.0,11.3,61.9,14.5
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Diesel,150.0,370.0,1997.0,174.8,72.0,63.4,109.4,19.0,3164.0,129.0,10.1,54.7,14.5
CITROEN,2016 Citroen C4 Picasso,Medium MPV,Diesel,150.0,370.0,1997.0,174.8,72.0,63.4,109.4,19.0,3120.0,130.0,9.7,57.4,14.5
CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Gasoline,130.0,230.0,1199.0,181.1,72.0,64.6,111.8,22.8,2903.0,128.0,10.3,46.1,14.5
CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Gasoline,130.0,230.0,1199.0,181.1,72.0,64.6,111.8,22.8,2859.0,125.0,10.9,47.0,14.5
CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Gasoline,165.0,240.0,1598.0,181.1,72.0,64.6,111.8,22.8,2910.0,130.0,8.7,42.0,14.5
CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Diesel,120.0,300.0,1560.0,181.1,72.0,64.6,111.8,22.8,2996.0,117.0,11.5,60.3,14.5
CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Diesel,100.0,254.0,1560.0,181.1,72.0,64.6,111.8,22.8,2910.0,109.0,13.1,61.9,14.5
CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Diesel,120.0,300.0,1560.0,181.1,72.0,64.6,111.8,22.8,2970.0,117.0,11.7,58.8,14.5
CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Diesel,150.0,370.0,1997.0,181.1,72.0,64.6,111.8,22.8,3254.0,129.0,10.2,54.7,14.5
CITROEN,CITROEN Grand C4 Picasso (2016-Present),Large MPV,Diesel,150.0,370.0,1997.0,181.1,72.0,64.6,111.8,22.8,3153.0,130.0,9.8,57.4,14.5
CITROEN,CITROEN C1 5 Doors (2014-Present),Small,Gasoline,69.0,95.0,998.0,136.4,63.6,57.5,92.1,6.9,1885.0,99.0,14.3,57.4,9.2
CITROEN,CITROEN C1 5 Doors (2014-Present),Small,Gasoline,69.0,95.0,998.0,136.4,63.6,57.5,92.1,6.9,1885.0,99.0,14.3,61.9,9.2
CITROEN,CITROEN C1 5 Doors (2014-Present),Small,Gasoline,82.0,117.0,998.0,136.4,63.6,57.5,92.1,6.9,1907.0,106.0,11.0,54.7,9.2
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Gasoline,156.0,240.0,1598.0,190.1,73.0,59.5,110.8,18.8,3382.0,130.0,10.2,32.2,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Gasoline,156.0,240.0,1598.0,190.1,73.0,59.5,110.8,18.8,3314.0,130.0,9.0,34.6,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Gasoline,120.0,160.0,1598.0,190.1,73.0,59.5,110.8,18.8,3303.0,121.0,12.9,36.8,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Diesel,112.0,270.0,1560.0,190.1,73.0,59.5,110.8,18.8,3395.0,118.0,12.8,51.1,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Diesel,114.0,240.0,1560.0,190.1,73.0,59.5,110.8,18.8,3391.0,118.0,11.9,47.0,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Diesel,114.0,240.0,1560.0,190.1,73.0,59.5,110.8,18.8,3395.0,118.0,12.8,52.3,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Diesel,163.0,340.0,1997.0,190.1,73.0,59.5,110.8,18.8,3620.0,129.0,10.2,47.0,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Diesel,140.0,320.0,1997.0,190.1,73.0,59.5,110.8,18.8,3649.0,124.0,10.9,44.4,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Diesel,163.0,340.0,1997.0,190.1,73.0,59.5,110.8,18.8,3516.0,130.0,9.3,41.3,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Diesel,204.0,440.0,2179.0,190.1,73.0,59.5,110.8,18.8,3896.0,140.0,8.6,38.6,18.8
CITROEN,CITROEN C5 Tourer (2010-Present),Large,Diesel,241.0,450.0,2993.0,190.1,73.0,59.5,110.8,18.8,4052.0,149.0,7.9,32.7,18.8
CITROEN,CITROEN DS5 (2011-Present),Compact,Gasoline,156.0,240.0,1598.0,178.3,73.7,59.2,107.4,16.4,3296.0,126.0,9.7,33.1,15.9
CITROEN,CITROEN DS5 (2011-Present),Compact,Gasoline,200.0,275.0,1598.0,178.3,73.7,59.2,107.4,16.4,3318.0,146.0,8.5,35.1,15.9
CITROEN,CITROEN DS5 (2011-Present),Compact,Diesel,114.0,270.0,1560.0,178.3,73.7,59.2,107.4,16.4,3296.0,119.0,12.0,64.2,15.9
CITROEN,CITROEN DS5 (2011-Present),Compact,Diesel,114.0,270.0,1560.0,178.3,73.7,59.2,107.4,16.4,3314.0,119.0,12.0,54.7,15.9
