Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity
AUDI,AUDI A3 Sportback (2020-Present),Compact,Mild Hybrid,150.0,250.0,1498.0,171.0,71.5,57.0,103.8,13.4,2910.0,139.0,8.4,47.0,13.2
AUDI,AUDI A3 Sedan (2020-Present),Compact,Gasoline,110.0,200.0,999.0,177.0,71.5,56.1,103.8,15.0,2701.0,130.0,10.6,44.4,11.9
AUDI,AUDI A3 Sedan (2020-Present),Compact,Gasoline,150.0,250.0,1498.0,177.0,71.5,56.1,103.8,15.0,2833.0,144.0,8.4,47.0,13.2
AUDI,AUDI A3 Sedan (2020-Present),Compact,Diesel,116.0,300.0,1968.0,177.0,71.5,56.1,103.8,15.0,2976.0,130.0,10.1,57.4,11.9
AUDI,AUDI A3 Sedan (2020-Present),Compact,Diesel,150.0,360.0,1968.0,177.0,71.5,56.1,103.8,15.0,3120.0,144.0,8.4,60.3,13.2
AUDI,AUDI A3 Sedan (2020-Present),Compact,Mild Hybrid,110.0,200.0,999.0,177.0,71.5,56.1,103.8,15.0,2833.0,130.0,10.6,48.0,11.9
AUDI,AUDI A3 Sedan (2020-Present),Compact,Mild Hybrid,150.0,250.0,1498.0,177.0,71.5,56.1,103.8,15.0,2910.0,144.0,8.4,42.8,13.2
AUDI,AUDI S3 Sportback (2020-Present),Compact,Gasoline,310.0,400.0,1984.0,171.3,71.5,56.6,103.5,11.5,3472.0,155.0,4.8,49.0,14.5
AUDI,AUDI Q5 (2020-Present),Crossover,Diesel,163.0,370.0,1968.0,184.3,74.5,65.4,111.0,19.4,3836.0,132.0,9.0,42.0,17.2
AUDI,AUDI Q5 (2020-Present),Crossover,Mild Hybrid Diesel,204.0,400.0,1968.0,184.3,74.5,65.4,111.0,19.4,4145.0,138.0,7.6,49.0,17.2
AUDI,AUDI Q5 (2020-Present),Crossover,Mild Hybrid Diesel,286.0,620.0,2967.0,184.3,74.5,65.4,111.0,19.4,4266.0,149.0,5.7,29.0,18.5
AUDI,AUDI Q5 (2020-Present),Crossover,Mild Hybrid,204.0,320.0,1984.0,184.3,74.5,65.4,111.0,18.4,3869.0,139.0,7.3,30.9,18.5
AUDI,AUDI Q5 (2020-Present),Crossover,Mild Hybrid,265.0,370.0,1984.0,184.3,74.5,65.4,111.0,18.4,3880.0,149.0,6.1,28.3,18.5
AUDI,AUDI RS 3 Sedan (2021-Present),Compact,Gasoline,400.0,500.0,2840.0,178.8,72.9,55.6,103.6,11.3,3638.0,155.0,3.8,27.0,14.5
AUDI,AUDI S5 Cabriolet (2020-Present),Roadster & Convertible,Gasoline,354.0,500.0,2995.0,185.2,72.7,54.4,108.9,13.2,4222.0,155.0,4.9,28.7,15.3
AUDI,AUDI S3 Sedan (2020-Present),Compact,Gasoline,310.0,400.0,1984.0,177.3,71.5,55.7,103.5,11.5,3483.0,155.0,4.8,49.0,14.5
AUDI,AUDI S5 Sportback (2020-Present),Medium Premium,Diesel,347.0,500.0,2967.0,187.1,72.6,54.9,111.2,15.2,3957.0,155.0,4.9,37.9,15.3
AUDI,AUDI Q7 (2019-Present),Large SUV,Gasoline,340.0,500.0,2995.0,199.6,87.1,68.5,117.9,14.2,4696.0,155.0,5.9,26.4,19.8
AUDI,AUDI Q7 (2019-Present),Large SUV,Diesel,231.0,500.0,2967.0,199.6,87.1,68.5,117.9,14.2,4773.0,142.0,7.1,34.6,19.8
AUDI,AUDI Q7 (2019-Present),Large SUV,Diesel,286.0,600.0,2967.0,199.6,87.1,68.5,117.9,14.2,4773.0,150.0,6.3,34.6,19.8
AUDI,AUDI RS5 Sportback (2019-Present),Medium,Gasoline,450.0,600.0,2984.0,188.3,73.5,54.6,111.3,16.4,3840.0,155.0,3.0,25.6,15.3
AUDI,2020 Audi A4 Avant,Lower Premium,Gasoline,150.0,270.0,1984.0,187.5,79.6,57.5,111.0,17.5,3472.0,137.0,9.2,39.2,15.3
AUDI,2020 Audi A4 Avant,Lower Premium,Gasoline,190.0,320.0,1984.0,187.5,79.6,57.5,111.0,17.5,3494.0,148.0,7.5,38.6,15.3
AUDI,2020 Audi A4 Avant,Lower Premium,Gasoline,245.0,370.0,1984.0,187.5,79.6,57.5,111.0,17.5,3671.0,155.0,6.0,34.1,15.3
AUDI,2020 Audi A4 Avant,Lower Premium,Diesel,136.0,320.0,1968.0,187.5,79.6,57.5,111.0,17.5,3549.0,131.0,9.8,54.7,15.3
AUDI,2020 Audi A4 Avant,Lower Premium,Diesel,163.0,380.0,1968.0,187.5,79.6,57.5,111.0,17.5,3560.0,139.0,8.5,56.0,15.3
AUDI,2020 Audi A4 Avant,Lower Premium,Diesel,190.0,400.0,1968.0,187.5,79.6,57.5,111.0,17.5,3748.0,143.0,7.6,44.4,15.3
AUDI,2020 Audi A4 Avant,Lower Premium,Diesel,231.0,500.0,2967.0,187.5,79.6,57.5,111.0,17.5,3979.0,155.0,6.1,42.0,15.3
AUDI,AUDI A5 Sportback (2019-Present),Medium,Gasoline,150.0,270.0,1984.0,187.3,72.6,55.0,111.2,16.4,3252.0,130.0,8.8,38.6,14.3
AUDI,AUDI A5 Sportback (2019-Present),Medium,Gasoline,150.0,270.0,1984.0,187.3,72.6,55.0,111.2,16.4,3329.0,130.0,9.1,39.2,14.3
AUDI,AUDI A5 Sportback (2019-Present),Medium,Gasoline,204.0,320.0,1984.0,187.3,72.6,55.0,111.2,16.4,3340.0,130.0,7.2,39.2,14.3
AUDI,AUDI A5 Sportback (2019-Present),Medium,Gasoline,204.0,320.0,1984.0,187.3,72.6,55.0,111.2,16.4,3494.0,130.0,6.8,37.3,15.3
AUDI,AUDI A5 Sportback (2019-Present),Medium,Gasoline,265.0,370.0,1984.0,187.3,72.6,55.0,111.2,16.4,3516.0,155.0,5.6,32.7,15.3
AUDI,AUDI A5 Sportback (2019-Present),Medium,Diesel,163.0,370.0,1968.0,187.3,72.6,55.0,111.2,16.4,3351.0,130.0,8.4,54.7,10.6
AUDI,AUDI A5 Sportback (2019-Present),Medium,Diesel,204.0,400.0,1968.0,187.3,72.6,55.0,111.2,16.4,3373.0,130.0,7.4,49.0,10.6
AUDI,AUDI A5 Sportback (2019-Present),Medium,Diesel,204.0,400.0,1968.0,187.3,72.6,55.0,111.2,16.4,3560.0,130.0,7.0,49.0,15.3
AUDI,AUDI A5 Sportback (2019-Present),Medium,Diesel,286.0,620.0,2967.0,187.3,72.6,55.0,111.2,16.4,3902.0,155.0,5.3,37.9,15.3
AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,144.0,281.0,1798.0,185.5,73.0,54.8,110.6,17.0,3450.0,137.0,9.3,40.6,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,144.0,281.0,1798.0,185.5,73.0,54.8,110.6,17.0,3527.0,130.0,9.6,39.9,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,177.0,320.0,1798.0,185.5,73.0,54.8,110.6,17.0,3527.0,137.0,8.4,39.9,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,226.0,350.0,1984.0,185.5,73.0,54.8,110.6,17.0,3472.0,155.0,7.0,39.9,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,226.0,350.0,1984.0,185.5,73.0,54.8,110.6,17.0,3538.0,147.0,7.2,39.9,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,226.0,350.0,1984.0,185.5,73.0,54.8,110.6,17.0,3627.0,152.0,6.5,35.6,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,226.0,350.0,1984.0,185.5,73.0,54.8,110.6,17.0,3726.0,152.0,6.5,35.6,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,272.0,400.0,2995.0,185.5,73.0,54.8,110.6,17.0,3946.0,155.0,6.0,30.9,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,150.0,320.0,1968.0,185.5,73.0,54.8,110.6,17.0,3649.0,132.0,9.4,52.3,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,136.0,320.0,1968.0,185.5,73.0,54.8,110.6,17.0,3704.0,127.0,9.4,51.1,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,150.0,320.0,1968.0,185.5,73.0,54.8,110.6,17.0,3704.0,127.0,9.4,51.1,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,189.0,400.0,1968.0,185.5,73.0,54.8,110.6,17.0,3704.0,143.0,7.8,52.3,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,189.0,400.0,1968.0,185.5,73.0,54.8,110.6,17.0,3803.0,146.0,7.5,48.0,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,189.0,400.0,1968.0,185.5,73.0,54.8,110.6,17.0,3880.0,144.0,7.4,46.1,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,136.0,320.0,1968.0,185.5,73.0,54.8,110.6,17.0,3649.0,132.0,9.5,56.0,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,163.0,400.0,1968.0,185.5,73.0,54.8,110.6,17.0,3660.0,137.0,8.6,54.7,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,218.0,500.0,2967.0,185.5,73.0,54.8,110.6,17.0,3990.0,149.0,6.4,38.6,16.6
AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,245.0,580.0,2967.0,185.5,73.0,54.8,110.6,17.0,4023.0,155.0,5.9,38.6,16.6
AUDI,AUDI SQ7 (2019-Present),Large SUV,Diesel,435.0,900.0,3956.0,199.4,87.1,68.6,118.0,27.3,5280.0,155.0,4.8,34.6,22.5
AUDI,2019 Audi A6 allroad quattro,Crossover,Diesel,231.0,500.0,2967.0,194.9,74.8,59.1,115.4,9.4,3627.0,155.0,6.7,39.9,16.6
AUDI,2019 Audi A6 allroad quattro,Crossover,Diesel,286.0,620.0,2967.0,194.9,74.8,59.1,115.4,20.0,4288.0,155.0,5.9,39.9,16.6
AUDI,2020 Audi A4 8W,Lower Premium,Gasoline,150.0,320.0,1968.0,187.5,79.6,56.3,111.0,16.2,3120.0,139.0,8.6,39.2,14.3
AUDI,2020 Audi A4 8W,Lower Premium,Diesel,122.0,270.0,1968.0,187.5,79.6,56.3,111.0,16.2,3153.0,127.0,10.9,58.8,10.6
AUDI,2020 Audi A4 8W,Lower Premium,Diesel,136.0,320.0,1968.0,187.5,79.6,56.3,111.0,16.2,3450.0,133.0,9.5,54.7,10.6
AUDI,2020 Audi A4 8W,Lower Premium,Diesel,163.0,380.0,1968.0,187.5,79.6,56.3,111.0,16.2,3461.0,142.0,8.2,57.4,10.6
AUDI,2020 Audi A4 8W,Lower Premium,Diesel,190.0,400.0,1968.0,187.5,79.6,56.3,111.0,16.2,3660.0,146.0,7.4,44.4,10.6
AUDI,2020 Audi A4 8W,Lower Premium,Diesel,231.0,500.0,2967.0,187.5,79.6,56.3,111.0,16.2,3891.0,155.0,6.0,42.8,10.6
AUDI,2020 Audi A4 8W,Lower Premium,Diesel,286.0,620.0,2967.0,187.5,79.6,56.3,111.0,16.2,3726.0,155.0,5.2,42.0,10.6
AUDI,2020 Audi A4 8W,Lower Premium,Mild Hybrid,150.0,270.0,1984.0,187.5,79.6,56.3,111.0,16.2,3340.0,140.0,8.9,39.2,10.6
AUDI,2020 Audi A4 8W,Lower Premium,Mild Hybrid,190.0,320.0,1984.0,187.5,79.6,56.3,111.0,16.2,3373.0,150.0,7.3,39.2,10.6
AUDI,2020 Audi A4 8W,Lower Premium,Mild Hybrid,245.0,370.0,1984.0,187.5,79.6,56.3,111.0,16.2,3571.0,155.0,5.8,34.6,10.6
AUDI,AUDI S6 Sedan (2019-Present),Compact,Diesel,349.0,700.0,2967.0,195.0,83.1,56.9,115.3,18.4,4310.0,155.0,5.0,37.3,16.6
AUDI,2023 Audi RS7 Sportback,Medium Premium,Mild Hybrid,600.0,800.0,3996.0,197.2,76.8,56.1,115.4,18.9,4553.0,155.0,3.6,19.3,19.3
AUDI,2023 Audi RS7 Sportback,Medium Premium,Mild Hybrid,630.0,850.0,3996.0,197.2,76.8,56.1,115.4,18.9,4553.0,174.0,3.4,19.3,19.3
AUDI,AUDI RS4 Avant (B9) (2019-Present),Compact,Gasoline,450.0,600.0,2894.0,188.3,73.5,56.6,111.3,17.5,4012.0,155.0,4.1,25.6,15.3
AUDI,AUDI A6 Avant (C8) (2018-Present),Medium Premium,Gasoline,245.0,370.0,1984.0,194.4,83.1,58.8,115.1,20.0,3880.0,155.0,6.2,34.6,16.6
AUDI,AUDI A6 Avant (C8) (2018-Present),Medium Premium,Gasoline,245.0,370.0,1984.0,194.4,83.1,58.8,115.1,20.0,3759.0,155.0,7.0,34.6,16.6
AUDI,AUDI A6 Avant (C8) (2018-Present),Medium Premium,Diesel,204.0,400.0,1968.0,194.4,83.1,58.8,115.1,20.0,3770.0,150.0,8.3,52.3,16.6
AUDI,AUDI A6 Avant (C8) (2018-Present),Medium Premium,Diesel,204.0,400.0,1968.0,194.4,83.1,58.8,115.1,20.0,3902.0,150.0,7.8,51.1,16.6
AUDI,AUDI A6 Avant (C8) (2018-Present),Medium Premium,Diesel,163.0,370.0,1968.0,194.4,83.1,58.8,115.1,20.0,3770.0,135.0,9.5,52.3,16.6
AUDI,AUDI A6 Avant (C8) (2018-Present),Medium Premium,Diesel,231.0,500.0,2967.0,194.4,83.1,58.8,115.1,20.0,4167.0,155.0,6.5,39.9,16.6
AUDI,AUDI A6 Avant (C8) (2018-Present),Medium Premium,Diesel,286.0,620.0,2967.0,194.4,83.1,58.8,115.1,20.0,4167.0,155.0,5.7,41.3,16.6
AUDI,AUDI A6 (2018-Present),Medium,Gasoline,245.0,370.0,1984.0,194.4,83.1,57.4,115.1,18.7,3737.0,155.0,6.0,34.6,16.6
AUDI,AUDI A6 (2018-Present),Medium,Gasoline,340.0,500.0,2995.0,194.4,74.3,57.4,115.1,13.7,3999.0,130.0,5.3,25.0,16.6
AUDI,AUDI A6 (2018-Present),Medium,Diesel,163.0,370.0,1968.0,194.4,83.1,57.4,115.1,18.7,3627.0,138.0,9.3,54.7,16.6
AUDI,AUDI A6 (2018-Present),Medium,Diesel,204.0,400.0,1968.0,194.4,83.1,57.4,115.1,18.7,3759.0,153.0,7.6,51.1,16.6
AUDI,AUDI A6 (2018-Present),Medium,Diesel,204.0,400.0,1968.0,194.4,83.1,57.4,115.1,18.7,3627.0,153.0,8.1,54.7,16.6
AUDI,AUDI A6 (2018-Present),Medium,Diesel,231.0,500.0,2967.0,194.4,83.1,57.4,115.1,18.7,4023.0,155.0,6.3,42.8,16.6
AUDI,AUDI A6 (2018-Present),Medium,Diesel,286.0,620.0,2967.0,194.4,83.1,57.4,115.1,18.7,4023.0,155.0,5.5,42.0,16.6
AUDI,AUDI Q3 (2018-Present),Crossover,Gasoline,150.0,250.0,1498.0,176.6,73.1,62.4,105.9,18.7,3384.0,131.0,9.6,37.3,15.3
AUDI,AUDI Q3 (2018-Present),Crossover,Gasoline,150.0,250.0,1498.0,176.6,73.1,62.4,105.9,23.8,3461.0,129.0,9.2,39.9,15.3
AUDI,AUDI Q3 (2018-Present),Crossover,Gasoline,190.0,320.0,1984.0,176.6,73.1,62.4,105.9,18.7,3737.0,137.0,7.4,31.4,15.3
AUDI,AUDI Q3 (2018-Present),Crossover,Gasoline,230.0,350.0,1984.0,176.6,73.1,62.4,105.9,18.7,3737.0,145.0,6.3,30.9,15.3
AUDI,AUDI Q3 (2018-Present),Crossover,Diesel,150.0,340.0,1968.0,176.6,73.1,62.4,105.9,18.7,3583.0,131.0,9.3,41.3,15.3
AUDI,AUDI Q3 (2018-Present),Crossover,Diesel,190.0,400.0,1968.0,176.6,73.1,62.4,105.9,18.7,3737.0,137.0,8.0,42.0,15.3
AUDI,AUDI Q3 (2018-Present),Crossover,Diesel,150.0,340.0,1968.0,176.6,73.1,62.4,105.9,18.7,3483.0,129.0,9.2,48.0,15.3
AUDI,AUDI Q3 (2018-Present),Crossover,Mild Hybrid,190.0,400.0,1968.0,176.6,73.1,62.4,105.9,14.5,3373.0,137.0,8.0,42.0,15.3
AUDI,2020 Audi A1 citycarver,Crossover,Gasoline,116.0,200.0,999.0,159.1,76.4,56.4,100.9,11.8,2491.0,126.0,9.5,45.2,10.6
AUDI,2020 Audi A1 citycarver,Crossover,Gasoline,116.0,200.0,999.0,159.1,76.4,56.4,100.9,11.8,2513.0,126.0,9.5,45.2,10.6
AUDI,2020 Audi A1 citycarver,Crossover,Gasoline,116.0,200.0,999.0,159.1,76.4,56.4,100.9,11.8,2579.0,126.0,9.4,46.1,10.6
AUDI,2020 Audi A1 citycarver,Crossover,Gasoline,150.0,250.0,1498.0,159.1,76.4,56.4,100.9,11.8,2657.0,138.0,7.7,44.4,10.6
AUDI,AUDI A1 Sportback (2018-Present),Entry Premium,Gasoline,116.0,200.0,999.0,158.6,76.4,56.4,100.9,11.8,2436.0,126.0,9.5,49.0,10.6
AUDI,AUDI A1 Sportback (2018-Present),Entry Premium,Gasoline,116.0,200.0,999.0,158.6,76.4,56.4,100.9,11.8,2480.0,126.0,9.4,49.0,10.6
AUDI,AUDI A1 Sportback (2018-Present),Entry Premium,Gasoline,150.0,250.0,1498.0,158.6,76.4,56.4,100.9,11.8,2568.0,138.0,7.7,46.1,10.6
AUDI,AUDI R8 Spyder (2018-Present),Roadster & Convertible,Gasoline,570.0,560.0,5204.0,174.4,80.2,48.9,104.3,4.0,3858.0,200.0,3.5,18.1,21.9
AUDI,AUDI RS 3 Sportback (2021-Present),Compact,Gasoline,400.0,500.0,2840.0,172.8,72.9,56.5,103.6,10.0,3627.0,155.0,3.8,26.7,14.5
AUDI,AUDI A7 Sportback (2017-Present),Large,Gasoline,245.0,370.0,1984.0,195.6,83.4,56.0,115.2,18.9,3858.0,155.0,6.2,34.6,16.6
AUDI,AUDI A7 Sportback (2017-Present),Large,Gasoline,245.0,370.0,1984.0,195.6,83.4,56.0,115.2,18.9,3737.0,155.0,7.0,35.1,16.6
AUDI,AUDI A7 Sportback (2017-Present),Large,Gasoline,340.0,500.0,2995.0,195.6,75.1,56.0,115.2,18.9,4001.0,155.0,5.3,34.6,16.6
AUDI,AUDI A7 Sportback (2017-Present),Large,Diesel,204.0,400.0,1984.0,195.6,83.4,56.0,115.2,18.9,3748.0,152.0,8.3,48.0,16.6
AUDI,AUDI A7 Sportback (2017-Present),Large,Mild Hybrid Diesel,286.0,620.0,2967.0,195.6,75.1,56.0,115.2,18.9,4145.0,155.0,5.7,42.0,16.6
AUDI,AUDI A7 Sportback (2017-Present),Large,Mild Hybrid Diesel,231.0,620.0,2967.0,195.6,75.1,56.0,115.2,18.9,4145.0,155.0,6.5,40.6,16.6
