ID,Company,Model,Segment,Fuel,Power(HP),Torque(Nm),Displacement,Length,Width,Height,Wheelbase,Cargo Volume,Unladen Weight,Top Speed,Acceleration 0-62 Mph (0-100 kph),Combined mpg,Fuel capacity,Partition
425,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Mild Hybrid Diesel,300.0,650.0,2996.0,189.1,80.0,65.6,113.1,26.4,4683.0,143.0,6.5,34.1,17.4,Antrenament
426,RENAULT,2022 Renault Arkana,Medium SUV,Hybrid Gasoline,94.0,148.0,1598.0,179.8,71.7,62.0,107.1,18.1,3164.0,107.0,10.8,48.0,13.2,Antrenament
427,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Hybrid Gasoline,400.0,550.0,2996.0,197.6,78.6,77.4,119.0,11.4,5040.0,129.0,6.1,21.0,23.8,Antrenament
428,KIA,KIA Sorento (US) (2018-Present),Medium SUV,Gasoline,185.0,241.0,2359.0,189.0,74.4,66.3,109.4,11.3,3810.0,122.0,10.5,23.0,18.8,Antrenament
429,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Gasoline,250.0,365.0,1997.0,189.1,80.0,65.6,113.1,26.4,4299.0,135.0,7.5,30.5,21.7,Antrenament
430,BMW,BMW X4 M (F98) (2021-Present),Medium SUV,Gasoline,510.0,650.0,2993.0,187.2,75.9,63.8,112.8,18.5,4597.0,155.0,3.8,21.8,17.2,Antrenament
431,MERCEDES BENZ,2020 Mercedes-Benz GLC Coupe,Medium SUV,Gasoline,258.0,370.0,1991.0,186.3,74.4,63.1,113.1,17.7,3858.0,149.0,6.4,31.8,13.2,Antrenament
432,PORSCHE,2024 Porsche Cayenne Turbo E-Hybrid,Medium SUV,Hybrid Gasoline,599.0,800.0,3996.0,194.1,78.1,66.3,114.0,19.0,5666.0,183.0,3.7,117.6,18.5,Antrenament
433,MERCEDES BENZ,2020 Mercedes-Benz GLE,Medium SUV,Diesel,245.0,500.0,1950.0,193.9,76.7,70.7,117.9,24.4,4784.0,140.0,7.2,38.6,22.5,Antrenament
434,MASERATI,2023 Maserati Grecale GT,Medium SUV,Mild Hybrid,296.0,450.0,1995.0,190.8,76.7,65.7,114.2,18.9,4123.0,149.0,5.6,27.0,16.9,Antrenament
435,OPEL,OPEL Grandland (2021-Present),Medium SUV,Gasoline,130.0,300.0,1499.0,176.3,75.0,63.3,105.3,18.2,2989.0,117.0,10.1,39.9,14.0,Antrenament
436,RENAULT,2024 Renault Arkana,Medium SUV,Mild Hybrid,140.0,260.0,1333.0,179.8,71.7,62.0,107.1,18.1,2945.0,108.0,9.8,40.6,13.2,Antrenament
437,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Gasoline,525.0,625.0,5000.0,197.6,79.1,78.6,119.0,32.7,5739.0,119.0,5.4,16.0,23.8,Antrenament
438,KIA,KIA Borrego (2009-Present),Medium SUV,Gasoline,342.0,438.0,4627.0,192.1,75.4,71.3,114.0,12.4,4405.0,136.0,6.6,18.0,20.6,Antrenament
439,LAMBORGHINI,2023 Lamborghini Urus S,Medium SUV,Gasoline,666.0,850.0,3996.0,201.3,79.4,64.5,118.2,21.8,4844.0,190.0,3.5,16.7,22.5,Antrenament
440,BMW,BMW X3 M (F97) (2019-Present),Medium SUV,Gasoline,510.0,600.0,2993.0,186.1,74.7,65.7,112.8,19.4,4343.0,177.0,4.1,22.4,17.2,Antrenament
441,BMW,BMW X3 (2021-Present),Medium SUV,Mild Hybrid,360.0,500.0,2998.0,185.6,74.7,66.0,112.8,19.4,4376.0,155.0,4.9,25.0,17.2,Antrenament
442,RENAULT,2024 Renault Arkana,Medium SUV,Mild Hybrid,158.0,270.0,1333.0,179.8,71.7,62.0,107.1,18.1,2970.0,108.0,9.1,40.6,13.2,Antrenament
443,LAMBORGHINI,LAMBORGHINI Urus (2018-Present),Medium SUV,Gasoline,650.0,850.0,3996.0,201.3,79.4,64.5,118.2,21.8,4850.0,190.0,3.6,18.5,22.5,Antrenament
444,SKODA,SKODA Karoq (2021-Present),Medium SUV,Diesel,116.0,250.0,1968.0,172.6,72.5,64.1,103.3,18.4,3146.0,119.0,11.0,48.0,13.2,Antrenament
445,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Gasoline,380.0,450.0,2995.0,189.1,80.0,65.6,113.1,18.8,4154.0,155.0,5.7,25.0,16.6,Antrenament
446,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Mild Hybrid Diesel,249.0,570.0,2996.0,197.6,79.1,78.6,119.0,11.4,5223.0,117.0,8.3,24.5,23.5,Antrenament
447,BMW,BMW X3 (2021-Present),Medium SUV,Mild Hybrid Diesel,286.0,650.0,2993.0,185.4,74.4,66.0,112.8,19.4,4431.0,152.0,5.7,33.6,18.0,Antrenament
448,BMW,BMW X3 (2021-Present),Medium SUV,Hybrid Gasoline,184.0,300.0,1998.0,185.4,74.4,66.0,112.8,15.9,4553.0,130.0,6.1,90.5,13.2,Antrenament
449,RENAULT,2024 Renault Arkana,Medium SUV,Hybrid Gasoline,94.0,148.0,1598.0,179.8,71.7,62.0,107.1,17.0,3164.0,107.0,10.8,50.0,13.2,Antrenament
450,KIA,KIA Borrego (2009-Present),Medium SUV,Gasoline,280.0,362.0,3778.0,192.1,75.4,71.3,114.0,12.4,4248.0,119.0,7.6,18.0,20.6,Antrenament
451,MASERATI,2016 Maserati Levante,Medium SUV,Gasoline,350.0,500.0,2979.0,197.0,77.5,66.1,118.3,20.5,4650.0,156.0,6.0,22.0,21.1,Antrenament
452,MERCEDES BENZ,2020 Mercedes-Benz GLE,Medium SUV,Gasoline,489.0,700.0,3982.0,193.9,76.7,70.7,117.9,22.2,5004.0,155.0,4.9,38.6,22.5,Antrenament
453,RENAULT,2019 Renault Koleos,Medium SUV,Diesel,150.0,340.0,1749.0,183.9,81.2,65.6,106.5,17.6,3710.0,118.0,11.8,43.6,15.9,Antrenament
454,MASERATI,2016 Maserati Levante,Medium SUV,Diesel,275.0,600.0,2987.0,197.0,77.5,66.1,118.3,20.5,4861.0,143.0,6.9,32.7,21.1,Antrenament
455,ALFA ROMEO,2023 Alfa Romeo Stelvio,Medium SUV,Gasoline,280.0,400.0,1995.0,184.5,74.9,66.7,110.9,18.5,3704.0,143.0,5.7,28.0,16.9,Antrenament
456,ALFA ROMEO,2023 Alfa Romeo Stelvio,Medium SUV,Diesel,210.0,470.0,2143.0,184.5,74.9,66.7,110.9,18.5,3847.0,134.0,6.6,36.8,16.9,Antrenament
457,KIA,KIA Borrego (2009-Present),Medium SUV,Gasoline,342.0,438.0,4627.0,192.1,75.4,71.3,114.0,12.4,4621.0,140.0,7.0,17.5,20.6,Antrenament
458,MERCEDES BENZ,2020 Mercedes-Benz GLC Coupe,Medium SUV,Diesel,163.0,360.0,1950.0,186.3,74.4,63.1,113.1,17.7,3902.0,128.0,8.8,45.2,13.2,Antrenament
459,BMW,BMW X4 (2021-Present),Medium SUV,Mild Hybrid Diesel,286.0,650.0,2993.0,187.0,75.5,63.8,112.8,18.5,4431.0,152.0,5.7,33.6,18.0,Antrenament
460,BMW,BMW X4 (2021-Present),Medium SUV,Mild Hybrid,245.0,350.0,1998.0,187.0,75.5,63.8,112.8,18.5,4134.0,146.0,6.6,27.7,17.2,Antrenament
461,MERCEDES BENZ,2020 Mercedes-Benz GLC Coupe,Medium SUV,Diesel,245.0,500.0,1950.0,186.3,74.4,63.1,113.1,17.7,3968.0,145.0,6.6,40.6,13.2,Antrenament
462,BMW,BMW X3 (2021-Present),Medium SUV,Mild Hybrid,245.0,350.0,1998.0,185.4,74.4,66.0,112.8,19.4,4156.0,146.0,6.6,27.7,17.2,Antrenament
463,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Hybrid Gasoline,400.0,550.0,2996.0,197.6,78.6,77.4,119.0,11.4,5165.0,119.0,6.1,20.8,23.8,Antrenament
464,MERCEDES BENZ,2020 Mercedes-Benz GLB,Medium SUV,Diesel,190.0,400.0,1950.0,182.4,72.2,65.3,111.4,19.8,3660.0,135.0,7.6,42.8,15.9,Antrenament
465,BMW,BMW X4 (2021-Present),Medium SUV,Mild Hybrid Diesel,190.0,400.0,1995.0,187.0,75.5,63.8,112.8,18.5,4222.0,132.0,7.9,36.2,18.0,Antrenament
466,JEEP,JEEP Cherokee (2018-Present),Medium SUV,Diesel,194.0,450.0,2174.0,182.0,73.2,65.7,106.6,24.6,5225.0,126.0,8.8,35.6,15.9,Test
467,ALFA ROMEO,ALFA ROMEO Stelvio Quadrifoglio (2017-Present),Medium SUV,Gasoline,510.0,600.0,2891.0,185.1,77.0,66.2,110.9,18.5,4200.0,177.0,3.8,26.1,16.9,Test
468,MASERATI,2016 Maserati Levante,Medium SUV,Gasoline,430.0,580.0,2979.0,197.0,77.5,66.1,118.3,20.5,4650.0,164.0,5.2,21.6,21.1,Test
469,LAND ROVER,2019 Land Rover Defender 90,Medium SUV,Gasoline,525.0,625.0,5000.0,180.4,79.1,78.6,101.9,28.0,5448.0,119.0,5.2,16.2,23.8,Test
470,MERCEDES BENZ,2020 Mercedes-Benz GLB,Medium SUV,Diesel,150.0,320.0,1951.0,182.4,72.2,65.3,111.4,19.8,3538.0,127.0,9.0,47.0,15.9,Test
471,TOYOTA,TOYOTA Rav4 (2018-Present),Medium SUV,Hybrid Gasoline,177.0,221.0,2494.0,180.9,73.0,66.9,105.9,35.6,3627.0,112.0,8.1,52.3,14.5,Test
472,MERCEDES BENZ,2020 Mercedes-Benz GLE,Medium SUV,Hybrid Gasoline,211.0,350.0,1991.0,193.9,76.7,70.7,117.9,17.3,5743.0,130.0,6.9,147.0,17.2,Test
473,PORSCHE,PORSCHE Macan T (2022-Present),Medium SUV,Gasoline,265.0,400.0,1984.0,186.1,75.9,63.2,110.5,16.2,4112.0,144.0,6.2,23.3,17.2,Test
474,TOYOTA,TOYOTA Fortuner (2015-Present),Medium SUV,Diesel,150.0,400.0,2393.0,188.8,73.0,72.2,108.3,10.5,4707.0,106.0,12.7,29.8,21.1,Test
475,KIA,KIA Borrego (2009-Present),Medium SUV,Gasoline,280.0,362.0,3778.0,192.1,75.4,71.3,114.0,12.4,4460.0,115.0,8.1,18.5,20.6,Test
476,MERCEDES BENZ,2020 Mercedes-Benz GLB,Medium SUV,Diesel,150.0,320.0,1950.0,182.4,72.2,65.3,111.4,19.8,3660.0,127.0,9.0,42.8,15.9,Test
477,RENAULT,2022 Renault Arkana,Medium SUV,Gasoline,140.0,260.0,1333.0,179.8,71.7,62.0,107.1,18.1,2945.0,127.0,9.8,40.6,13.2,Test
478,PORSCHE,2024 Porsche Cayenne,Medium SUV,Gasoline,353.0,500.0,2995.0,194.1,86.4,66.9,114.0,24.6,4696.0,150.0,6.0,19.4,19.8,Test
479,BMW,BMW X3 (2021-Present),Medium SUV,Mild Hybrid Diesel,190.0,400.0,1995.0,185.4,74.4,66.0,112.8,19.4,4222.0,132.0,7.9,36.2,18.0,Test
480,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Mild Hybrid Diesel,299.0,650.0,2996.0,197.6,79.1,78.6,119.0,11.4,5223.0,119.0,7.0,24.5,23.5,Test
481,BMW,BMW X4 M (F98) (2019-Present),Medium SUV,Gasoline,510.0,600.0,2993.0,187.3,75.9,63.7,112.8,18.5,4343.0,177.0,4.1,22.4,17.2,Test
482,PORSCHE,PORSCHE Cayenne Turbo (PO536) (2017-Present),Medium SUV,Gasoline,550.0,770.0,3999.0,193.9,78.1,65.9,114.0,26.3,4795.0,178.0,4.1,16.6,23.8,Test
483,PORSCHE,2018 Porsche Cayenne,Medium SUV,Gasoline,340.0,450.0,2995.0,193.6,78.1,66.8,114.0,27.2,4376.0,152.0,6.2,25.6,19.8,Test
484,PORSCHE,PORSCHE Macan (95B) (2018-Present),Medium SUV,Gasoline,245.0,370.0,1998.0,184.9,82.6,63.9,110.5,17.7,3957.0,140.0,6.5,29.0,17.2,Test
485,MERCEDES BENZ,2020 Mercedes-Benz GLC Coupe,Medium SUV,Gasoline,197.0,320.0,1991.0,186.3,74.4,63.1,113.1,17.7,3847.0,134.0,8.0,33.1,13.2,Test
486,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Gasoline,300.0,400.0,1997.0,197.6,79.1,78.6,119.0,11.4,4985.0,119.0,8.1,23.8,23.8,Test
487,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Diesel,300.0,700.0,2993.0,189.1,80.0,65.6,113.1,18.8,4319.0,150.0,6.5,36.8,16.6,Test
488,SKODA,SKODA Karoq (2021-Present),Medium SUV,Diesel,116.0,300.0,1968.0,172.6,72.5,64.1,103.3,18.4,3133.0,120.0,10.6,50.0,13.2,Test
489,PORSCHE,2024 Cayenne E-Hybrid Coupe,Medium SUV,Hybrid Gasoline,304.0,420.0,2995.0,194.1,84.6,66.8,114.0,22.1,5512.0,158.0,4.9,130.7,19.8,Test
490,BMW,BMW X3 M (F97) (2019-Present),Medium SUV,Gasoline,480.0,600.0,2993.0,186.1,74.7,65.6,112.8,19.4,4343.0,155.0,4.2,22.4,17.2,Test
491,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Mild Hybrid Diesel,204.0,430.0,1997.0,189.1,80.0,65.6,113.1,26.4,4416.0,130.0,8.2,44.4,15.9,Test
492,LAND ROVER,2018 Land Rover Range Rover Velar,Medium SUV,Gasoline,250.0,365.0,1997.0,189.1,80.0,65.6,113.1,18.8,3977.0,135.0,6.7,30.9,16.6,Test
493,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Diesel,200.0,430.0,1998.0,197.6,79.1,78.6,119.0,11.4,5121.0,109.0,10.3,30.9,23.8,Test
494,MERCEDES BENZ,2020 Mercedes-Benz GLE,Medium SUV,Gasoline,367.0,500.0,2999.0,193.9,76.7,70.7,117.9,29.1,4729.0,155.0,5.7,28.3,22.5,Test
495,TOYOTA,TOYOTA Rav4 (2018-Present),Medium SUV,Gasoline,175.0,208.0,1987.0,180.9,73.0,66.9,105.9,35.6,3197.0,118.0,9.8,39.2,14.5,Test
496,PORSCHE,2018 Cayenne S,Medium SUV,Gasoline,440.0,550.0,1894.0,193.6,78.1,66.8,114.0,27.2,4453.0,165.0,5.2,25.0,19.8,Test
497,LAND ROVER,2020 Land Rover Defender 110,Medium SUV,Diesel,240.0,430.0,1998.0,197.6,79.1,78.6,119.0,11.4,5121.0,117.0,9.1,30.9,23.8,Test
498,BMW,2024 BMW X2,Medium SUV,Mild Hybrid,156.0,240.0,1499.0,179.3,72.6,62.6,106.0,18.2,3627.0,132.0,8.3,36.2,11.9,Test
499,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Gasoline,250.0,400.0,1998.0,190.1,73.0,58.9,107.7,17.6,3313.5,151.0,7.7,28.3,18.5,Antrenament
500,TOYOTA,TOYOTA Avensis (2015-Present),Medium,Gasoline,147.0,180.0,1798.0,187.0,71.3,58.3,106.3,18.0,3175.0,124.0,9.4,39.2,15.9,Antrenament
501,VOLKSWAGEN,2020 Volkswagen Passat Variant,Medium,Diesel,190.0,400.0,1598.0,187.9,72.1,59.6,109.7,23.0,3075.0,150.0,11.9,36.2,17.4,Antrenament
502,MERCEDES BENZ,MERCEDES BENZ E-Class T-Modell (S213) (2016-Present),Medium,Gasoline,183.0,300.0,1991.0,194.2,72.9,58.1,115.7,23.7,3759.0,144.0,8.1,35.6,13.2,Antrenament
503,VOLKSWAGEN,VOLKSWAGEN Passat (2019-Present),Medium,Diesel,150.0,360.0,1968.0,188.0,72.1,58.4,109.7,20.7,3362.0,139.0,8.9,50.0,15.6,Antrenament
504,CITROEN,CITROEN DS4 (2010-Present),Medium,Gasoline,120.0,160.0,1598.0,168.3,71.3,60.0,102.8,12.7,2821.9,119.9,10.8,37.9,15.9,Antrenament
505,JAGUAR,JAGUAR XF (2015-Present),Medium,Gasoline,200.0,320.0,1997.0,195.0,74.0,57.4,116.5,19.1,3605.0,146.0,7.5,34.6,17.4,Antrenament
506,AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,144.0,281.0,1798.0,185.5,73.0,54.8,110.6,17.0,3527.0,130.0,9.6,39.9,16.6,Antrenament
507,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Diesel,194.0,400.0,1956.0,190.1,73.0,58.9,107.7,17.6,3313.5,140.0,9.0,37.0,18.5,Antrenament
508,AUDI,AUDI A6 (2018-Present),Medium,Diesel,204.0,400.0,1968.0,194.4,83.1,57.4,115.1,18.7,3627.0,153.0,8.1,54.7,16.6,Antrenament
509,VOLVO,VOLVO V60 (2018-Present),Medium,Diesel,190.0,400.0,1969.0,187.4,72.8,56.2,113.1,18.7,3737.0,137.0,7.9,43.6,15.9,Antrenament
510,AUDI,AUDI A5 Sportback (2019-Present),Medium,Gasoline,150.0,270.0,1984.0,187.3,72.6,55.0,111.2,16.4,3329.0,130.0,9.1,39.2,14.3,Antrenament
511,ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,Medium,Gasoline,510.0,601.0,2891.0,182.6,73.7,56.1,111.0,17.0,3362.0,191.0,3.9,27.7,15.3,Antrenament
512,SEAT,SEAT Leon X-Perience (2014-Present),Medium,Diesel,110.0,249.0,1598.0,178.9,71.5,58.3,103.5,20.7,2822.0,124.0,10.6,71.3,14.5,Antrenament
513,KIA,KIA Optima Sportswagon (2018-Present),Medium,Gasoline,161.0,196.0,1999.0,191.1,73.2,57.9,110.4,19.5,3252.0,128.0,9.6,30.5,18.5,Antrenament
514,OPEL,OPEL Insignia Sports Tourer (2017-Present),Medium,Diesel,170.0,400.0,1956.0,196.3,73.3,59.1,111.4,19.8,3600.0,139.0,8.9,44.4,16.4,Antrenament
515,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Diesel,128.0,260.0,1582.0,169.3,70.1,57.9,104.3,13.3,3009.0,122.0,10.9,57.4,14.0,Antrenament
516,OPEL,OPEL Insignia Sports Tourer GSi (2017-Present),Medium,Gasoline,260.0,400.0,1998.0,196.3,73.3,58.7,111.4,19.8,3618.0,152.0,7.5,27.0,16.4,Antrenament
517,AUDI,AUDI A5 Sportback (2019-Present),Medium,Diesel,204.0,400.0,1968.0,187.3,72.6,55.0,111.2,16.4,3560.0,130.0,7.0,49.0,15.3,Antrenament
518,VOLVO,VOLVO V60 (2018-Present),Medium,Diesel,150.0,320.0,1969.0,187.4,72.8,56.2,113.1,18.7,3737.0,127.0,9.9,42.8,15.9,Antrenament
519,AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,226.0,350.0,1984.0,185.5,73.0,54.8,110.6,17.0,3726.0,152.0,6.5,35.6,16.6,Antrenament
520,AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,245.0,580.0,2967.0,185.5,73.0,54.8,110.6,17.0,4023.0,155.0,5.9,38.6,16.6,Antrenament
521,MERCEDES BENZ,MERCEDES BENZ E-Class T-Modell (S213) (2016-Present),Medium,Gasoline,333.0,480.0,3498.0,194.2,72.9,58.1,115.7,23.7,4211.0,155.0,5.4,28.7,13.2,Antrenament
522,VOLVO,VOLVO V60 (2018-Present),Medium,Diesel,150.0,350.0,1969.0,187.4,72.8,56.2,113.1,18.7,3737.0,127.0,9.6,42.8,15.9,Antrenament
523,CITROEN,CITROEN DS4 (2010-Present),Medium,Diesel,163.0,339.0,1997.0,168.3,71.3,60.0,102.8,12.7,2855.0,131.7,8.6,46.1,15.9,Antrenament
524,CITROEN,CITROEN DS4 (2010-Present),Medium,Gasoline,200.0,275.0,1598.0,168.3,71.3,60.0,102.8,12.7,2846.2,146.0,7.9,36.8,15.9,Antrenament
525,OPEL,OPEL Insignia Sports Tourer (2017-Present),Medium,Gasoline,140.0,250.0,1490.0,196.3,73.3,59.1,111.4,19.8,3278.0,130.0,10.2,40.6,16.4,Antrenament
526,VOLKSWAGEN,VOLKSWAGEN Passat Alltrack (2019-Present),Medium,Diesel,190.0,400.0,1968.0,188.2,73.0,60.1,109.8,22.6,3803.0,139.0,8.0,38.6,17.4,Antrenament
527,AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,226.0,350.0,1984.0,185.5,73.0,54.8,110.6,17.0,3472.0,155.0,7.0,39.9,16.6,Antrenament
528,MERCEDES BENZ,MERCEDES BENZ E-Class T-Modell (S213) (2016-Present),Medium,Diesel,150.0,360.0,1950.0,194.2,72.9,58.1,115.7,23.7,3880.0,135.0,8.7,51.1,13.2,Antrenament
529,AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,189.0,400.0,1968.0,185.5,73.0,54.8,110.6,17.0,3803.0,146.0,7.5,48.0,16.6,Antrenament
530,KIA,KIA Optima Sportswagon (2018-Present),Medium,Gasoline,161.0,196.0,1999.0,191.1,73.2,57.9,110.4,19.5,3296.0,127.0,10.7,31.4,18.5,Antrenament
531,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Gasoline,325.0,435.0,2792.0,190.1,73.0,58.9,107.7,17.6,3313.5,155.3,6.9,22.2,18.5,Antrenament
532,AUDI,AUDI A6 (2018-Present),Medium,Diesel,286.0,620.0,2967.0,194.4,83.1,57.4,115.1,18.7,4023.0,155.0,5.5,42.0,16.6,Antrenament
533,AUDI,AUDI A5 Sportback (2011-Present),Medium,Diesel,163.0,400.0,1968.0,185.5,73.0,54.8,110.6,17.0,3660.0,137.0,8.6,54.7,16.6,Antrenament
534,VOLKSWAGEN,VOLKSWAGEN Passat (2019-Present),Medium,Gasoline,150.0,250.0,1498.0,188.0,72.1,58.4,109.7,20.7,3142.0,137.0,8.7,40.6,15.6,Antrenament
535,AUDI,AUDI A6 (2018-Present),Medium,Gasoline,245.0,370.0,1984.0,194.4,83.1,57.4,115.1,18.7,3737.0,155.0,6.0,34.6,16.6,Antrenament
536,VOLVO,VOLVO V60 (2018-Present),Medium,Diesel,190.0,400.0,1969.0,187.4,72.8,56.2,113.1,18.7,3737.0,137.0,7.9,43.6,15.9,Antrenament
537,JAGUAR,JAGUAR XF (2015-Present),Medium,Gasoline,250.0,365.0,1997.0,195.0,74.0,57.4,116.5,19.1,3605.0,152.0,6.6,34.6,17.4,Antrenament
538,AUDI,AUDI A5 Sportback (2019-Present),Medium,Gasoline,150.0,270.0,1984.0,187.3,72.6,55.0,111.2,16.4,3252.0,130.0,8.8,38.6,14.3,Antrenament
539,JAGUAR,JAGUAR XF (2015-Present),Medium,Diesel,240.0,500.0,1999.0,195.0,74.0,57.4,116.5,19.1,3704.0,153.0,6.5,44.4,17.4,Antrenament
540,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Gasoline,250.0,400.0,1998.0,190.1,73.0,58.9,107.7,17.6,3313.5,150.3,7.6,32.7,18.5,Antrenament
541,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Diesel,90.0,220.0,1396.0,169.3,70.1,57.9,104.3,13.3,2998.0,106.0,13.5,57.4,14.0,Antrenament
542,AUDI,AUDI RS5 Sportback (2019-Present),Medium,Gasoline,450.0,600.0,2984.0,188.3,73.5,54.6,111.3,16.4,3840.0,155.0,3.0,25.6,15.3,Antrenament
543,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Gasoline,99.0,137.0,1396.0,169.3,70.1,57.9,104.3,13.3,2877.0,113.0,13.2,39.2,14.0,Antrenament
544,MERCEDES BENZ,2024 Mercedes-Benz E-Class Estate,Medium,Mild Hybrid,204.0,320.0,1999.0,194.8,74.0,57.8,116.6,21.7,4023.0,144.0,7.8,30.9,17.4,Antrenament
545,VOLVO,VOLVO V60 (2018-Present),Medium,Gasoline,250.0,350.0,1969.0,187.4,72.8,56.2,113.1,18.7,3737.0,146.0,6.7,32.2,15.9,Antrenament
546,VOLVO,VOLVO V60 Cross Country (2018-Present),Medium,Diesel,190.0,400.0,1969.0,188.3,80.3,59.1,113.2,18.7,4001.0,130.0,8.2,39.9,15.9,Antrenament
547,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Diesel,110.0,260.0,1582.0,169.3,70.1,57.9,104.3,13.3,3133.0,115.0,11.5,61.9,14.0,Antrenament
548,AUDI,AUDI A6 (2018-Present),Medium,Diesel,231.0,500.0,2967.0,194.4,83.1,57.4,115.1,18.7,4023.0,155.0,6.3,42.8,16.6,Antrenament
549,VOLVO,VOLVO V60 (2018-Present),Medium,Gasoline,190.0,300.0,1969.0,187.4,72.8,56.2,113.1,18.7,3737.0,137.0,7.2,32.2,15.9,Antrenament
550,KIA,KIA Optima Sportswagon (2018-Present),Medium,Diesel,136.0,320.0,1598.0,191.1,73.2,57.9,110.4,19.5,3439.0,120.0,11.8,54.7,18.5,Antrenament
551,KIA,KIA Optima Sportswagon (2018-Present),Medium,Diesel,136.0,320.0,1598.0,191.1,73.2,57.9,110.4,19.5,3406.0,121.0,11.2,54.7,18.5,Antrenament
552,SEAT,SEAT Leon X-Perience (2014-Present),Medium,Gasoline,125.0,200.0,1395.0,178.9,77.8,58.3,103.5,20.7,3371.0,124.0,10.0,48.0,14.5,Antrenament
553,JAGUAR,JAGUAR XF (2015-Present),Medium,Gasoline,381.0,450.0,2995.0,195.0,74.0,57.4,116.5,19.1,3770.0,155.0,5.4,28.3,17.4,Antrenament
554,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Diesel,194.0,400.0,1956.0,190.1,73.0,58.9,107.7,17.6,3313.5,142.0,8.9,50.0,18.5,Antrenament
555,AUDI,AUDI A5 Sportback (2011-Present),Medium,Gasoline,226.0,350.0,1984.0,185.5,73.0,54.8,110.6,17.0,3627.0,152.0,6.5,35.6,16.6,Antrenament
556,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Gasoline,170.0,260.0,1598.0,190.1,73.0,58.9,107.7,17.6,3313.5,119.3,12.9,35.6,18.5,Antrenament
557,OPEL,OPEL Insignia Hatchback (2013-Present),Medium,Gasoline,170.0,260.0,1598.0,190.1,73.0,58.9,107.7,17.6,3313.5,140.0,8.9,39.9,18.5,Antrenament
558,AUDI,AUDI A6 (2018-Present),Medium,Gasoline,340.0,500.0,2995.0,194.4,74.3,57.4,115.1,13.7,3999.0,130.0,5.3,25.0,16.6,Antrenament
559,BMW,2024 BMW M3 CS,Medium,Gasoline,550.0,650.0,2993.0,188.8,75.5,56.6,113.2,6.4,4057.0,188.0,3.4,22.6,15.6,Antrenament
560,TOYOTA,TOYOTA Avensis Wagon (2015-Present),Medium,Gasoline,147.0,180.0,1798.0,189.8,71.3,58.3,106.3,19.2,3241.0,124.0,9.7,37.9,15.9,Antrenament
561,VOLVO,VOLVO V60 Cross Country (2018-Present),Medium,Diesel,150.0,350.0,1969.0,188.3,80.3,59.1,113.2,18.7,4001.0,121.0,9.9,39.9,15.9,Antrenament
562,HYUNDAI,HYUNDAI i30 Coupe (2012-Present),Medium,Gasoline,120.0,156.0,1591.0,169.3,70.1,57.9,104.3,13.3,2899.0,119.0,10.9,35.6,14.0,Antrenament
563,AUDI,AUDI A6 (2018-Present),Medium,Diesel,204.0,400.0,1968.0,194.4,83.1,57.4,115.1,18.7,3759.0,153.0,7.6,51.1,16.6,Antrenament
564,OPEL,OPEL Insignia Sports Tourer (2017-Present),Medium,Gasoline,165.0,250.0,1490.0,196.3,73.3,59.1,111.4,19.8,3355.0,133.0,9.6,37.9,16.4,Antrenament
565,TOYOTA,TOYOTA Avensis (2015-Present),Medium,Diesel,143.0,320.0,1598.0,187.0,71.3,58.3,106.3,18.0,3384.0,124.0,9.5,52.3,15.9,Antrenament
566,SEAT,SEAT Leon X-Perience (2014-Present),Medium,Diesel,150.0,320.0,1968.0,178.9,71.5,58.3,103.5,20.7,2976.0,134.0,8.6,57.4,14.5,Antrenament
567,LEXUS,2014 Lexus IS,Medium,Hybrid Gasoline,181.0,216.0,2494.0,183.7,71.3,56.3,110.2,15.9,3571.0,124.0,8.3,54.7,17.4,Antrenament
