Company,Model,U1,U2,U3,U4
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),-0.07063184095074279,0.03329147381073904,-0.5151719210726197,0.3725240469402655
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),-0.01075670267048025,0.006954963904143457,-0.48768581406342776,0.3363255038305656
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.3624931470324047,0.04166590142495854,-0.07443721997526122,0.28408049937877833
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.5570873464432579,-0.04392775577147707,0.014892627804612426,0.16643523427225382
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.5898380521635217,-0.06429257526457059,0.02642000969104492,-0.04968953545319139
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.5149941293131935,-0.09721321264781507,0.0607776434525348,-0.09493771434031623
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.5599004830233905,-0.07746083021786837,0.04016306319564086,-0.06778880700804131
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.4700877756029966,-0.11696559507776176,0.08139222370942874,-0.12208662167259114
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.5000253447431279,-0.10379734012446398,0.0676491702048328,-0.10398735011774123
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.423820623295521,-0.13731653455104015,0.10263148821653155,-0.1500582231664501
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.4700877756029966,-0.11696559507776176,0.08139222370942874,-0.12208662167259114
ALFA ROMEO,ALFA ROMEO Stelvio Quadrifoglio (2017-Present),1.0837922133393942,-0.107752715748797,0.5597699658342876,0.14964641442306809
ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,-0.11264228144494859,0.05264799647132739,-0.45091180040373596,0.5091693075610685
ALPINE,ALPINE A110 (2017-Present),-1.3587196473579675,0.4911208841628494,0.876209429065503,-0.41722456234043026
ALPINE,ALPINE A110 (2017-Present),-1.2577222995489055,0.4527765734223039,0.9208025864036905,-0.48441751313911213
ARIEL,ARIEL Atom 3 (2008-Present),-2.4131277460288296,-0.6092849329368509,1.4806863275445743,1.857998265222628
ARIEL,ARIEL Atom 3 (2008-Present),-2.882603262089979,-0.4027827529874083,1.2651702612225013,2.141827750969138
ARIEL,ARIEL Atom 3 (2008-Present),-2.414488544626108,-0.6086863758935194,1.4800616432943654,1.8588209593842118
ARIEL,ARIEL Atom 3 (2008-Present),-2.4131277460288296,-0.6092849329368509,1.4806863275445743,1.857998265222628
ASTON MARTIN,ASTON MARTIN V12 Vantage Roadster (2022-Present),1.0293003353645915,-0.1446941596089001,1.3754329710147515,0.15084605640562057
ASTON MARTIN,ASTON MARTIN DBX707 (2022-Present),2.023013236247408,-0.31815324735941425,-0.2130125402054047,0.4512039005732338
ASTON MARTIN,ASTON MARTIN DBX (2020-Present),2.023013236247408,-0.31815324735941425,-0.2130125402054047,0.4512039005732338
AUDI,2019 Audi Q8,1.8257947667810086,-0.15061757385597171,0.03038766045948946,0.31578555143013676
AUDI,2019 Audi Q8,1.9605138279115992,-0.20987472114581165,0.09223140123017112,0.2343388294333122
AUDI,2019 Audi Q8,2.846393714740029,-0.5995353563547599,0.49890084811616936,-0.30123506975792896
AUDI,AUDI S8 (2021-Present),1.827910550034343,0.18050936116558688,-0.40239884742016235,-0.49862735069763564
AUDI,AUDI R8 V10 performance RWD (2021-Present),0.22386270789432436,0.07207935020141953,1.1052364090135223,0.25894267704771146
AUDI,AUDI R8 Coupe (2018-Present),0.5301814081466316,0.17505887077002535,1.8135236639050007,0.6861663652512966
AUDI,AUDI R8 Coupe (2018-Present),0.3042888409983684,0.2744193399630905,1.7098260783703223,0.8227335960742552
AUDI,AUDI R8 Coupe (2018-Present),0.33422641013849963,0.2612510850097927,1.7235691318749182,0.8046343245194053
AUDI,AUDI A3 Sportback (2020-Present),-0.7934154218749317,0.043382334403932854,0.03011455676440155,0.21929882887527016
AUDI,AUDI A3 Sportback (2020-Present),-0.5925438804500408,-0.04596074055572616,0.14124010950646676,0.1509233399643566
AUDI,AUDI A3 Sportback (2020-Present),-0.39658888244190876,-0.13215295479549355,0.23119464153654937,0.03245538069624791
AUDI,AUDI A3 Sportback (2020-Present),-0.6736651453144067,-0.009290685409258275,0.08508677078278531,0.14690174265587047
AUDI,AUDI A3 Sedan (2020-Present),-1.0218248713560563,0.5086557872070877,-0.1809619231597328,-0.010608498365578109
AUDI,AUDI A3 Sedan (2020-Present),-0.8421994565152686,0.429646257487301,-0.09850360213215711,-0.11920412769467771
AUDI,AUDI A3 Sedan (2020-Present),-0.6476052571044154,0.3440526002908654,-0.00917375435228348,-0.23684939280120224
AUDI,AUDI A3 Sedan (2020-Present),-0.4516502590962834,0.257860386051098,0.08078077767779913,-0.3553173520693109
AUDI,AUDI A3 Sedan (2020-Present),-0.8421994565152686,0.429646257487301,-0.09850360213215711,-0.11920412769467771
AUDI,AUDI A3 Sedan (2020-Present),-0.7374179645248093,0.3835573651507588,-0.050402914866071354,-0.1825515781366524
AUDI,AUDI S3 Sportback (2020-Present),0.08733399573633406,-0.3035226701112204,0.46731870916241874,-0.3756709758071447
AUDI,AUDI Q5 (2020-Present),0.534396095451842,-0.07854933392817712,-0.06447153720681768,0.14265480599108993
AUDI,AUDI Q5 (2020-Present),0.9548828620109584,-0.2635034603176779,0.12855589610773452,-0.11155768993839321
AUDI,AUDI Q5 (2020-Present),1.1195394922816806,-0.33592886256081583,0.2041426903830123,-0.21110368349006794
