,V_x_z,Redundanta x,V_y_u,Redundanta y
Radacina1,0.6854371930661948,0.39662932792895544,0.6596496737970754,0.38170733866410084
Radacina2,0.13620266374584267,0.01315713017309515,0.11028730151372285,0.010653715151732752
Radacina3,0.0721782198191299,0.001856502443461409,0.14619693387884503,0.003760344403793495
Radacina4,0.10618192336883271,4.1963252429099865e-05,0.0838660908103555,3.314400255015317e-05
