,Z1,Z2,Z3,Z4
Power(HP),0.8150035604897425,0.19855748702986697,0.530845733625773,-0.12061064556970842
Torque(Nm),0.990249903518837,0.08785803057577714,-0.05587312312474454,0.09254344469797438
Top Speed,0.7041965504742002,0.648362794560103,0.05805767942192863,-0.28348229361036187
Acceleration 0-62 Mph (0-100 kph),-0.7752614497929025,-0.2780148061188725,-0.020571493389206007,0.5667929654674894
