Company,Model,Z1,Z2,Z3,Z4
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),0.5533692378430388,-0.02869496867073255,-0.014018774192044565,-1.062766132841945
ALFA ROMEO,ALFA ROMEO Giulia (2022-Present),0.7628262761050811,0.08922824812894145,-0.5915462368497156,-0.1642706189634119
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.5885733495274762,-0.24553885042830484,0.06325019686829315,-0.965837962408279
ALFA ROMEO,2023 Alfa Romeo Stelvio,0.9461901203779352,-0.5727419031566918,-0.5329904958048548,-0.5247080898154971
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.6124752251305146,-0.2941274486534305,-0.10877390049329759,-0.5283276960583936
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.40819562687005323,0.018556538883570346,-0.07330947376069816,-0.8428663184732509
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.40476300732680004,-0.128272583705926,-0.14825050703650064,-0.7341306804902457
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.11456888926520734,-0.28225911820464733,-0.36451296914412074,0.23616277922979864
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),-0.09574295244787753,-0.32030618283306195,-0.3805100026567565,0.14378047727656273
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.11910927728674826,-0.04856965712923424,-0.3395264677475762,-0.39555103288533994
ALFA ROMEO,ALFA ROMEO Giulietta (2016-Present),0.24844785657836704,-0.18786082456767042,-0.4961121336526658,0.032015889862627676
ALFA ROMEO,ALFA ROMEO Stelvio Quadrifoglio (2017-Present),1.6007477395937764,0.6862766219539266,0.7700099625450395,-0.21057268289663075
ALFA ROMEO,2016 Alfa Romeo Giulia Quadrifoglio,1.4048330228025676,1.4318740417676044,0.6879852213395034,0.15211103434269488
ALPINE,ALPINE A110 (2017-Present),0.07497557126932093,0.28224190589981835,-0.0680792828885797,-1.5677421241553031
ALPINE,ALPINE A110 (2017-Present),0.12050853938443412,0.22717603635899528,0.21591674660113322,-1.592872348747459
ARIEL,ARIEL Atom 3 (2008-Present),0.8780514298321028,-0.26209753267446956,0.36082626262529965,-1.8685172188753645
ARIEL,ARIEL Atom 3 (2008-Present),0.034182931848839575,-0.06147867179844605,0.31604770044467523,-2.601783523406751
ARIEL,ARIEL Atom 3 (2008-Present),-0.44972199668785034,0.17213722474554408,0.04290291635081978,-2.7177095754828633
ARIEL,ARIEL Atom 3 (2008-Present),0.8780514298321028,-0.26209753267446956,0.36082626262529965,-1.8685172188753645
ASTON MARTIN,ASTON MARTIN V12 Vantage Roadster (2022-Present),2.3110283306755317,1.4684148573642222,1.5322059961486196,0.886371812282103
ASTON MARTIN,ASTON MARTIN DBX707 (2022-Present),3.244062798254355,0.8446338182327384,1.1551805261826817,1.1480642807438814
ASTON MARTIN,ASTON MARTIN DBX (2020-Present),2.062045356177849,0.8577353464173826,0.7886411034219724,0.5993316113621061
AUDI,2019 Audi Q8,1.005303869704415,0.22872976828895158,0.13818417738165392,-0.1976555139078358
AUDI,2019 Audi Q8,0.9310361724799682,0.03529161945428612,-0.4993914479317185,0.07586796599821403
AUDI,2019 Audi Q8,0.8240286093957819,-0.03543629398963874,0.31971309680949667,-0.5659510433697109
AUDI,AUDI S8 (2021-Present),3.0493122992614787,-0.7798229879784693,0.7429775366373305,0.08241792966844666
AUDI,AUDI R8 V10 performance RWD (2021-Present),1.0211732333421242,2.0838355421427632,1.1845105713088133,0.18987489169002286
AUDI,AUDI R8 Coupe (2018-Present),1.1451380519210117,1.8574203708629917,1.1487030048981517,0.021903005342623027
AUDI,AUDI R8 Coupe (2018-Present),0.9806262739371566,1.9682503260712658,1.014603065044747,0.06945004586979713
AUDI,AUDI R8 Coupe (2018-Present),1.2591523683182895,1.9885371998152492,1.3977365618089481,0.0965760817155325
AUDI,AUDI A3 Sportback (2020-Present),-0.5469923747357733,0.3777167959154028,-0.18816805444198711,-0.4407070018628722
AUDI,AUDI A3 Sportback (2020-Present),-0.31393123982093385,0.093004322432875,-0.38429963945474965,0.26900033319139677
AUDI,AUDI A3 Sportback (2020-Present),0.05351342664335945,0.23071496651410445,-0.5231203620338948,-0.026938054984041233
AUDI,AUDI A3 Sportback (2020-Present),-0.5469923747357733,0.3777167959154028,-0.18816805444198711,-0.4407070018628722
AUDI,AUDI A3 Sedan (2020-Present),-0.9397514312862671,0.4311535424258937,-0.09602960222548908,0.1653192225282949
AUDI,AUDI A3 Sedan (2020-Present),-0.6155498361755751,0.637684748689244,-0.21923171050761064,-0.32901734815501843
AUDI,AUDI A3 Sedan (2020-Present),-0.3413542243968546,0.19699150354241138,-0.3967251018809991,0.3136761946745382
AUDI,AUDI A3 Sedan (2020-Present),-0.015044034796442349,0.49068291928794555,-0.5541840180995183,0.08475159872381255
AUDI,AUDI A3 Sedan (2020-Present),-0.9397514312862671,0.4311535424258937,-0.09602960222548908,0.1653192225282949
AUDI,AUDI A3 Sedan (2020-Present),-0.6155498361755751,0.637684748689244,-0.21923171050761064,-0.32901734815501843
AUDI,AUDI S3 Sportback (2020-Present),0.5358421575297726,0.1801406924810851,0.1357066811884586,-1.097707457510647
AUDI,AUDI Q5 (2020-Present),0.1593464986007001,-0.04417653575552419,-0.3671921252552369,0.1383034955667889
AUDI,AUDI Q5 (2020-Present),0.4096564117603927,-0.07557924850163557,-0.30850396656350176,-0.23991150769086736
AUDI,AUDI Q5 (2020-Present),1.712733998513947,-0.23298731648628476,-0.6001316236573657,-0.0011133452435230487
