,R_z_u,R_z_u patrat,P_value
Radacina1,0.7606915269770339,0.5786515992146515,0.0
Radacina2,0.31080484851946377,0.09659965386320682,0.0
Radacina3,0.16037795790828063,0.025721089382830235,4.7251287327299e-09
Radacina4,0.019879674849738876,0.0003952014721313404,0.414087499965595
